"","Carrier_Company_Name","Uniquely_Identified_Carrier","Source_Port","Destination_Port","Distance (Nautical_Miles)","Ship_Length (ft)","Ship_Beam (ft)","Ship_Draft (ft)","Storage_Capacity (#Conatiners)","Is_Shared"
"34","Maersk","MAE-U123453","Bremerhaven","Qingdao","25690.0095153227","1008.70448804228","132.746858774822","45.9821765061253","15393","0"
"35","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","20020.9347708151","1085.14556161594","134.296010781489","44.1416875027667","16082","0"
"36","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","23883.2280377392","1076.62203834276","143.618418332096","45.0734168552139","17423","0"
"37","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","24773.1126502063","1074.46764797554","134.322105467435","42.7956823035862","15441","0"
"38","Maersk","MAE-U123453","Bremerhaven","Qingdao","26341.2853184156","1178.84876560536","136.188872006724","44.6670459746806","17928","0"
"39","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","23143.0807714071","1118.08868838707","146.018205763402","44.0508686774104","17980","0"
"40","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","20945.9783685487","1025.59293458937","115.393490572099","45.345310665555","5963","0"
"41","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","18272.7482864633","1104.48432815843","127.026612195564","45.878570578124","16092","0"
"42","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","17719.3788646627","973.976616736036","140.017319316855","44.7471129150818","15256","0"
"43","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","15171.4748026617","1069.00546056684","130.119760950398","46.6499893439354","16222","0"
"44","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","23660.0990028307","1074.69643543125","122.986794247504","44.1992824124237","14605","0"
"45","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","17968.5800041817","1144.75699112401","139.803983165753","42.7676679420025","17112","0"
"46","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","16914.8573269509","1067.38331697066","131.094425012972","44.8368821971067","15685","0"
"47","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","15202.4666836951","1116.40440156334","134.055147941393","46.1266233094232","17258","0"
"48","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","20774.8721003998","1141.00453004357","129.246942723288","45.7972562577743","16884","0"
"49","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","16222.454041997","1060.02563068061","123.16283307371","43.4414123200716","14179","0"
"50","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","24522.3784147482","1119.61013314198","128.971093495713","44.7969715867864","7187","0"
"51","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","19209.4174115639","981.567944157869","127.906169189909","45.40747628496","14252","0"
"52","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","26124.8185663205","1078.84302121354","133.739308163345","45.031969945643","16243","0"
"53","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","17920.8927402087","1029.75056616706","129.281898188698","43.8660555719793","14600","0"
"54","CMA CGM","CMA-U123453","Tokyo","Busan","20620.9205611702","1188.92638104502","122.717672467596","44.4173169396781","16201","0"
"55","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","17275.7431498636","994.551906009438","137.294966028314","45.5156361504366","15538","0"
"56","Maersk","MAE-U123453","Bremerhaven","Qingdao","21928.6770023312","1084.98714354471","127.506840957939","44.46396418083","15378","0"
"57","COSCO","COS-U123453","Shanghai","Rotterdam","20458.5414959863","966.567120184191","148.590409577528","46.8951250369045","16838","0"
"58","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","20553.1164896954","1073.19273629342","129.930323218918","45.179518506377","15750","0"
"59","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","19750.0107600354","1028.39596387348","127.801876558898","46.1297266633918","15157","0"
"60","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","21002.792883357","970.229409026215","135.323305942633","45.375922526978","6620","0"
"61","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","15378.8312928658","1062.37753066816","138.844338532521","42.8471639466172","15800","0"
"62","COSCO","COS-U123453","Shanghai","Rotterdam","16359.8749456834","990.333564085886","135.395109019745","45.2841526407159","15180","0"
"63","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","20570.9534539003","1186.86327078962","135.089503346007","43.7923815653715","17553","0"
"64","COSCO","COS-U123453","Shanghai","Rotterdam","19716.2024428602","976.361768355127","131.257051743878","44.8683121283238","14375","0"
"65","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","24903.3960259706","1185.9383029805","142.459730540494","43.552477892978","18395","0"
"66","CMA CGM","CMA-U123453","Tokyo","Busan","24042.126311101","974.314917925512","138.077705857926","43.7085544996832","14700","0"
"67","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","21811.4746129978","1168.54911051691","127.483815346842","44.3797713872726","16528","0"
"68","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","20316.3955857418","1103.60240293783","135.403303632351","43.6740284618489","16316","0"
"69","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","15995.5678558722","997.017808292294","135.126212262032","43.8385284713419","14765","0"
"70","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","17603.3659420721","1099.73268450005","142.946609914976","45.1110074681649","7880","0"
"71","COSCO","COS-U123453","Shanghai","Rotterdam","15897.7750670537","972.378985604737","139.68873510784","43.8874312186626","14903","0"
"72","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","21348.9901983831","1060.02801801427","128.556304510809","45.9130063367103","15642","0"
"73","COSCO","COS-U123453","Shanghai","Rotterdam","22619.3161311932","1007.41023595911","145.065308184507","45.717359522101","16703","0"
"74","COSCO","COS-U123453","Shanghai","Rotterdam","21245.7830922212","1099.34475727961","132.846340891342","43.7220372415637","15963","0"
"75","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","15466.6628899891","1174.98158190399","132.488659761487","43.2571591101952","16835","0"
"76","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","21484.8148964345","1055.88604330085","136.009536277918","44.8395044352366","16099","0"
"77","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","19428.4255957603","1090.72592351818","128.648785697335","44.6426389573242","15661","0"
"78","COSCO","COS-U123453","Shanghai","Rotterdam","26420.2726846933","1080.89642969775","139.632216165679","44.8370201981325","16918","0"
"79","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","18057.217840394","1121.04661569465","129.204567908489","44.4297326709467","16088","0"
"80","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","17470.4659978207","1028.54656565934","131.816808974708","45.7574801690521","6893","0"
"81","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","25233.2233840227","1013.53706746595","138.109217914973","44.4336697407498","15549","0"
"82","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","20516.9767538644","1175.52121156128","129.603071414804","42.8996944983917","16340","0"
"83","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","17647.665109355","979.444939524401","132.086616587416","45.3954491401839","14682","0"
"84","COSCO","COS-U123453","Shanghai","Rotterdam","22407.7692661621","1186.22925243108","130.426522386136","42.1236288639024","16293","0"
"85","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","17419.3346831761","1132.05075816251","146.312218156573","44.6340672176686","18482","0"
"86","CMA CGM","CMA-U123453","Tokyo","Busan","15233.7201535329","1069.53595087049","120.798519878691","44.5364250112615","14385","0"
"87","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","24480.1569107082","1048.67246984737","126.604282360973","44.4588839112421","14757","0"
"88","Maersk","MAE-U123453","Bremerhaven","Qingdao","18258.9084927924","1083.55644449824","142.432748982978","44.7630569273927","17271","0"
"89","CMA CGM","CMA-U123453","Tokyo","Busan","16979.316155808","999.655871354043","128.617306260437","46.2314262575871","14860","0"
"90","Maersk","MAE-U123453","Bremerhaven","Qingdao","17021.4024121407","977.043400757248","135.703095931891","44.0653036913019","6492","0"
"91","CMA CGM","CMA-U123453","Tokyo","Busan","20803.4505279176","1084.20430044062","136.386514653633","42.8469935502995","15840","0"
"92","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","23451.5398380999","1034.4046245527","131.669338164182","45.9635812297849","15651","0"
"93","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","22032.186866859","1155.60344027821","130.184121822835","43.6819808480635","16429","0"
"94","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","21143.8236970548","1193.16867235932","136.436141725854","42.561161999088","17321","0"
"95","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","19533.7369079702","1155.60242394335","125.240726420505","43.4402925384248","15718","0"
"96","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","24917.1665555332","1169.58671640721","134.567966948619","45.3231447516276","17833","0"
"97","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","17958.2156417705","1164.18870620895","133.601031047648","43.1151957210276","16765","0"
"98","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","21422.3402114119","1142.95471184421","134.617341008055","45.5961396099066","17539","0"
"99","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","23836.8121149391","1047.5994277664","134.271506189727","45.3450913679278","15946","0"
"100","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","15356.540838182","973.121740084607","124.697718279249","44.284114410219","5971","0"
"101","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","19090.8008378372","1168.08955283603","136.070084204553","44.2199525817808","17571","0"
"102","COSCO","COS-U123453","Shanghai","Rotterdam","15728.5119306296","1188.18449352751","126.04650188926","43.9361648213344","16450","0"
"103","CMA CGM","CMA-U123453","Tokyo","Busan","19383.4801294282","1079.60193467909","137.030528699062","44.6049544790445","16497","0"
"104","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","19842.2114976123","1199.24788692268","129.712176948381","48.1551360923857","18727","0"
"105","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","25862.3206542246","1100.23742763558","130.975937846509","44.2680285599297","15948","0"
"106","CMA CGM","CMA-U123453","Tokyo","Busan","25557.8183463961","1122.60691655916","133.690364901562","43.7377181156068","16411","0"
"107","Maersk","MAE-U123453","Bremerhaven","Qingdao","26686.7382538039","1178.63747076364","128.2428393031","44.3723414289513","16767","0"
"108","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","20669.0799114481","1140.01531433198","135.940082865872","43.4117200687252","16819","0"
"109","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","23238.8778129034","1145.35631446401","134.457419323481","44.0166500310498","16947","0"
"110","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","20057.8679722175","1183.54612253723","133.713790549958","44.0267597088717","7742","0"
"111","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","24315.8984096814","1087.7662364603","132.286777423006","44.7749557288514","16107","0"
"112","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","25011.2283293344","1011.98641847237","134.079159955362","46.611977498343","15812","0"
"113","COSCO","COS-U123453","Shanghai","Rotterdam","17179.6491005737","1178.40970850666","129.035443868367","42.7512320644761","16252","0"
"114","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","21279.0504628234","1196.260064214","121.672480489544","45.9800879386403","16731","0"
"115","Maersk","MAE-U123453","Bremerhaven","Qingdao","23351.0168993846","1045.27430922841","141.075849729707","44.1078119803165","16261","0"
"116","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","25849.6803901065","1159.91207995685","125.628719926134","43.6890831654561","15916","0"
"117","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","18078.9861491974","1013.55222242768","135.43820204126","43.9317886636142","15077","0"
"118","Maersk","MAE-U123453","Bremerhaven","Qingdao","24416.3822671864","979.558970216895","127.76688175694","44.0525028783612","13783","0"
"119","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","22299.8982715979","1115.4428019817","139.270769766087","44.3650756777446","17230","0"
"120","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","23323.3718763292","1066.88478094642","141.101608161469","43.3546237505603","7252","0"
"121","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","16282.2468194179","1088.00155406585","129.992214654741","44.2334158481591","15640","0"
"122","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","18966.3256230857","1032.99319483223","121.226764213338","43.847427278099","13727","0"
"123","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","18850.683505917","1075.99544713506","143.196098517479","42.9939796962499","16561","0"
"124","Maersk","MAE-U123453","Bremerhaven","Qingdao","21717.2579831164","1110.44659105828","136.110622463694","43.760144098054","16535","0"
"125","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","17413.7569129374","1047.2938920639","121.837301867973","43.9600528098022","14023","0"
"126","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","17610.0895477273","970.533872420201","137.435195545772","45.1466443298788","15055","0"
"127","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","22521.4095175546","1009.87820007489","127.623004157591","44.2511917166417","14258","0"
"128","CMA CGM","CMA-U123453","Tokyo","Busan","19187.9436626192","1044.63388765929","134.115511157446","44.7614473456974","15678","0"
"129","CMA CGM","CMA-U123453","Tokyo","Busan","25179.6540203411","1172.79081364279","125.930270179681","45.8378502649382","16924","0"
"130","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","26294.5722218603","987.763148546219","130.587860891508","46.1667133530406","6617","0"
"131","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","25549.8143491242","976.359120905399","131.576081198374","44.3476180427223","14243","0"
"132","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","15556.6822686978","1077.55911987857","132.270196076151","46.4688679878127","16558","0"
"133","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","24136.2013037503","1171.3378533884","126.51420301471","44.5868417511999","16518","0"
"134","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","17735.078021111","1174.72049398581","142.133855814733","44.9159364297656","18749","0"
"135","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","18744.3873189948","998.460648587206","139.03589163365","43.6350802184305","15144","0"
"136","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","18358.1146804523","1195.06789433653","143.56694530779","44.9953339246401","19300","0"
"137","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","23472.7643374912","1157.29913730058","140.128110683522","42.7638189268372","17338","0"
"138","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","25242.1984507609","1000.63116779202","126.550827979863","47.3017936185567","14975","0"
"139","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","16263.123425357","987.051061170641","125.590374429444","44.4769896545897","13784","0"
"140","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","21537.8937382344","1019.94319972117","128.219786477422","42.8801466109252","6231","0"
"141","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","22702.6298308745","1139.81756062713","120.641423807781","44.7698338360986","15391","0"
"142","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","17789.265984837","1167.62997753685","130.957575050719","44.1149385277121","16864","0"
"143","CMA CGM","CMA-U123453","Tokyo","Busan","15906.4109108783","1024.80929236975","131.831677899586","44.9713423723532","15189","0"
"144","CMA CGM","CMA-U123453","Tokyo","Busan","25966.3691059034","992.189617520198","128.773093608584","44.921084877342","14349","0"
"145","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","16748.9343076944","1162.23525473732","142.01207085203","45.2495490230171","18671","0"
"146","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","24769.9976545293","1176.14295199281","124.048483252617","45.5219626757428","16604","0"
"147","Maersk","MAE-U123453","Bremerhaven","Qingdao","19912.5984999072","1023.099707535","125.724116971187","45.1269953358168","14512","0"
"148","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","22276.7448410578","1171.10559124383","122.609190250847","44.0386035290528","15809","0"
"149","Maersk","MAE-U123453","Bremerhaven","Qingdao","15809.2715602275","1169.19723905041","125.41024855894","43.8497967740926","16074","0"
"150","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","25741.0905131511","965.713004785357","127.018487045279","43.4049926098485","5916","0"
"151","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","25448.9732010104","1118.031047564","128.406441098747","44.2266416763002","15873","0"
"152","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","17341.7484456394","1082.56381291663","132.241802127393","42.9979294282792","15389","0"
"153","COSCO","COS-U123453","Shanghai","Rotterdam","15825.1813635416","1068.41876193881","127.2826932691","43.9910198305549","14956","0"
"154","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","16869.1941316612","1087.45119705563","129.568035886272","44.3660156095172","15628","0"
"155","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","18961.4665471483","1040.34478442627","134.819504111807","45.2822606712615","15878","0"
"156","Maersk","MAE-U123453","Bremerhaven","Qingdao","17139.1338707227","979.893026272766","123.324053905096","43.9869370580466","13289","0"
"157","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","16740.2143185306","985.40585035691","122.925695604007","43.5129349494252","13177","0"
"158","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","18452.0362083334","1002.90559565066","135.407072314362","43.9191695006248","14911","0"
"159","CMA CGM","CMA-U123453","Tokyo","Busan","26120.4983900953","1079.72669682815","120.680603560248","43.0914183415008","14037","0"
"160","CMA CGM","CMA-U123453","Tokyo","Busan","16217.2303759027","1155.13613601914","127.873996451681","45.7023261993","7501","0"
"161","CMA CGM","CMA-U123453","Tokyo","Busan","23593.4203617834","1060.14392527402","139.735099581064","43.3150391164538","16042","0"
"162","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","21134.8497477919","1104.39971055253","132.096668827085","43.3129633141235","15797","0"
"163","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","19893.365800716","1193.58233624254","137.449157885893","47.4565999762729","19464","0"
"164","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","19909.5915259235","1155.30546030728","136.565230606959","44.75352953046","17652","0"
"165","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","24053.0875713006","1091.59231728176","126.386857259336","43.6335132503213","15050","0"
"166","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","18079.0173831861","994.384059250588","122.916732301082","45.4099884277405","13876","0"
"167","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","24066.6945898812","1091.13345864229","133.279950800531","42.6777719620744","15516","0"
"168","COSCO","COS-U123453","Shanghai","Rotterdam","26670.9691859968","1198.97941135801","127.17942197551","45.2161103802211","17237","0"
"169","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","22961.0140922293","1100.07171208854","119.051631402969","42.7272109829793","13989","0"
"170","COSCO","COS-U123453","Shanghai","Rotterdam","22008.3433621097","1145.15220887144","127.53976512099","44.6787913765736","7250","0"
"171","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","21689.6142213698","1026.52533573215","134.395574470672","44.3948146362649","15312","0"
"172","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","24050.1460360084","1048.7919281784","130.757026895221","44.5015489792029","15257","0"
"173","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","23854.1331181023","1079.13975980598","121.567319917285","44.6432970105161","14642","0"
"174","COSCO","COS-U123453","Shanghai","Rotterdam","23408.987873923","1074.7852378746","131.157468198938","42.3771023204958","14934","0"
"175","COSCO","COS-U123453","Shanghai","Rotterdam","26723.2819403708","1092.9965261824","123.661931097015","43.5958017349366","14731","0"
"176","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","20365.3751767427","1012.291040048","130.502294022188","44.140640561945","14578","0"
"177","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","16404.422806548","1173.45462481142","128.964351107794","46.5772895501951","17622","0"
"178","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","17834.9875875749","1062.83579055918","139.451182300985","43.9249927198178","16276","0"
"179","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","20589.8104103096","1182.40403173259","133.734770514223","43.4029105703154","17158","0"
"180","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","19185.5980818998","1130.00503486604","131.977725036317","43.8269185520831","7262","0"
"181","COSCO","COS-U123453","Shanghai","Rotterdam","19022.2739091888","1196.80242629373","142.888545051354","46.3481458852513","19815","0"
"182","Maersk","MAE-U123453","Bremerhaven","Qingdao","16512.3390422668","1199.985255457","122.353300311332","46.5019742988642","17069","0"
"183","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","20037.9974103626","970.765145915793","125.875029499517","43.1674197540137","13187","0"
"184","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","20622.9327774234","1010.37897761678","141.466415815244","43.6323443533642","15591","0"
"185","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","21269.3374474626","1132.25718154572","136.493397851867","44.6204753049484","17240","0"
"186","Maersk","MAE-U123453","Bremerhaven","Qingdao","22448.2088783383","971.318088273983","140.626875864818","42.6360051788957","14559","0"
"187","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","25407.1899685822","1062.359139357","126.406262181956","45.735615521671","15354","0"
"188","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","23068.3855946828","1127.62820783653","124.248194823878","41.4900293096867","14532","0"
"189","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","23601.8804466538","1076.15057096817","135.534584399904","44.9857663086192","16404","0"
"190","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","17160.3509460948","997.115712171653","128.881839742882","44.17443284425","6308","0"
"191","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","15924.9235604145","1107.17654285487","118.782208612499","42.6853812457439","14034","0"
"192","COSCO","COS-U123453","Shanghai","Rotterdam","15857.7051538881","1174.5377502474","142.563084313993","42.4576116671907","17773","0"
"193","Maersk","MAE-U123453","Bremerhaven","Qingdao","15642.2636217903","1176.67569951736","140.796805480636","44.3613149334203","18374","0"
"194","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","21145.2080553677","1071.24016502523","134.660038794509","44.8306683729046","16167","0"
"195","CMA CGM","CMA-U123453","Tokyo","Busan","24670.9326366428","1168.17279572249","129.857647994049","42.809180791368","16235","0"
