Id,Membership Type,Age,Weight,Height,Gender,Life_Style,BMI,Weight Class,Calories
35,Annually,28,50.001397937423825,1.4342085602441148,Male,Low Active,24.3084644648525,Normal,24.3084644648525
36,Annually,32,43.31325989143003,1.4944228600177705,Female,Low Active,19.39428917274028,Normal,19.39428917274028
37,Monthly,24,38.87466801653938,1.4621146890518473,Female,Sedentary,18.184602523653606,Underweight,18.184602523653606
38,Annually,13,74.23987644632192,1.9850002599910639,Male,Low Active,18.84152732363369,Normal,53.364658
39,Monthly,43,11.194198776690733,1.7633862728746943,Male,Low Active,63.152848,Obesity,69.052856
40,Monthly,52,45.81377412125454,1.8519567706640836,Male,Sedentary,13.3577828895484,Underweight,13.3577828895484
41,Annually,41,45.15523152887135,1.823732953076089,Male,Sedentary,13.576429930558014,Underweight,13.576429930558014
42,Monthly,36,60.49458788941125,2.0729826820256734,Male,Low Active,14.077488284786856,Underweight,14.077488284786856
43,Monthly,29,94.99368676518895,1.7466159838540425,Female,Sedentary,31.138657370248726,Obesity,31.138657370248726
44,Monthly,43,14.47836514231523,1.8510660637389151,Male,Active,4.225476470209119,Underweight,4.225476470209119
45,Monthly,15,76.4248243190206,2.004967671409556,Female,Sedentary,19.011645182333638,Normal,19.011645182333638
46,Monthly,13,88.54412419885784,1.8974479400833608,Male,Low Active,24.593481264461598,Normal,24.593481264461598
47,Annually,18,61.779622828820095,1.8462113170561194,Male,Low Active,18.12518445387798,Underweight,18.12518445387798
48,Monthly,45,95.40934305763511,1.3124493285990433,Female,Sedentary,55.38929219316438,Obesity,55.38929219316438
49,Monthly,53,63.98493739810525,1.3546485230728884,Female,Active,34.86779578293819,Obesity,34.86779578293819
50,Annually,59,9.717622110324774,1.4966198185002186,Male,Sedentary,4.338474236261597,Underweight,63.352951
51,Annually,33,3.856923960677444,1.5579118518323636,Female,Active,1.5891149535224571,Underweight,1.5891149535224571
52,Annually,52,57.65364769074794,2.0912004179048544,Female,Active,13.183644262655672,Underweight,68.009314
53,Annually,39,79.59637200306068,1.3766453211657212,Female,Low Active,41.99998612828501,Obesity,43.774964
54,Annually,41,66.4670130113495,1.6403076949810056,Female,Active,24.70333101359317,Normal,24.70333101359317
55,Annually,48,18.670546319063988,1.9845257905903686,Male,Sedentary,4.740711550838034,Underweight,4.740711550838034
56,Monthly,39,69.58035538907981,1.76538608882737,Female,Active,22.32581093087623,Normal,22.32581093087623
57,Annually,37,3.948896327864555,1.5869924582431472,Male,Low Active,1.5679276049610935,Underweight,1.5679276049610935
58,Monthly,14,38.749058944322435,1.607462328463948,Female,Active,14.996142272693216,Underweight,14.996142272693216
59,Annually,46,26.62150538926023,1.8465266250560606,Male,Low Active,56.018835,Obesity,56.018835
60,Annually,16,36.05243217989233,1.5022563276269023,Female,Sedentary,15.975206644264496,Underweight,15.975206644264496
61,Monthly,38,79.98969515274001,1.67893560045366,Male,Low Active,28.37696637202551,OverWeight,28.37696637202551
62,Annually,42,68.44638365299922,1.347949012863671,Male,Active,37.67069018495809,Obesity,37.67069018495809
63,Monthly,53,70.9784149990863,1.7198617176404993,Female,Sedentary,23.996021240932045,Normal,23.996021240932045
64,Annually,17,34.37527323888743,1.8128528213085562,Male,Active,10.459744239554206,Underweight,10.459744239554206
65,Annually,19,28.94916282735512,1.8639292271973562,Female,Low Active,8.332535495849113,Underweight,66.904676
66,Annually,17,21.220846963638827,1.3870032829386474,Female,Low Active,11.030818412850358,Underweight,11.030818412850358
67,Annually,46,22.951001285316078,1.7835311140311207,Female,Active,7.215065151815328,Underweight,61.8494
68,Annually,29,59.56842552625144,1.5186158945115424,Male,Low Active,25.829752160759252,OverWeight,52.709681
69,Monthly,60,38.29495965901846,1.4036104618087308,Female,Active,19.437858809608166,Normal,68.255874
70,Annually,54,25.353980285813194,1.4311958531595166,Male,Active,12.377929645374511,Underweight,12.377929645374511
71,Annually,50,57.90298925808266,1.742278272557936,Female,Active,63.651441,Obesity,63.651441
72,Annually,24,75.69025484958885,1.8738288742579987,Female,Active,21.55659259329883,Normal,21.55659259329883
73,Monthly,45,52.28349972117766,1.8952189681260474,Female,Sedentary,66.562998,Obesity,66.562998
74,Monthly,43,47.73694332280475,1.986312299446633,Male,Sedentary,12.099280448830555,Underweight,12.099280448830555
75,Monthly,43,84.48230701441223,1.56501852561121,Male,Sedentary,45.203983,Obesity,45.203983
76,Annually,45,8.157538849098797,1.8736862070273888,Male,Sedentary,2.323621740254429,Underweight,2.323621740254429
77,Monthly,28,99.62243231160346,1.6701466943780992,Female,Sedentary,42.496646,Obesity,42.496646
78,Annually,39,59.53082028577634,1.9332887209732135,Male,Active,42.06435,Obesity,62.613783
79,Monthly,41,20.240062453741146,2.0089152280036853,Female,Active,62.799126,Obesity,62.799126
80,Monthly,46,17.17428382345097,1.4289360471440216,Female,Active,8.41110494244966,Underweight,65.564401
81,Annually,33,46.17083156591343,1.8268838697318919,Female,Low Active,13.833937651892608,Underweight,13.833937651892608
82,Annually,35,35.895964109287505,1.4270692395160165,Female,Sedentary,17.626071692827935,Underweight,17.626071692827935
83,Annually,53,77.5359797883726,1.5421391830573938,Female,Low Active,32.60289274848531,Obesity,32.60289274848531
84,Annually,24,60.66077638559673,1.8948498640462736,Male,Low Active,69.596069,Obesity,69.596069
85,Monthly,24,79.57453600841656,1.8026966763272472,Male,Low Active,61.182352,Obesity,61.182352
86,Annually,37,61.17780975551547,1.3593320454915674,Female,Low Active,33.10875225201114,Obesity,33.10875225201114
87,Annually,42,54.52619083637185,1.6099170390112398,Male,Sedentary,21.03769553003801,Normal,21.03769553003801
88,Monthly,60,64.28483809962718,2.070433703975614,Female,Sedentary,14.996361360881423,Underweight,14.996361360881423
89,Annually,23,6.145002365978595,1.3136154270646645,Male,Active,3.5611115188428175,Underweight,58.594568
90,Monthly,52,95.78715615654367,1.4708673139563713,Female,Low Active,61.689533,Obesity,61.689533
91,Annually,12,86.37344361830624,1.8410131531659677,Male,Sedentary,25.483932854231526,OverWeight,25.483932854231526
92,Annually,50,68.95270645682366,1.575415900951213,Male,Active,27.781831194854554,OverWeight,27.781831194854554
93,Annually,56,5.7605216244932675,1.9143633912227012,Female,Sedentary,1.5718570602049622,Underweight,1.5718570602049622
94,Annually,40,23.4233786615542,1.8442094502126913,Male,Sedentary,6.886983666458813,Underweight,6.886983666458813
95,Annually,13,76.74919487474277,1.3022713223499822,Female,Low Active,45.25544861257576,Obesity,45.25544861257576
96,Monthly,60,28.432452818375953,1.9901639165542575,Female,Sedentary,7.178548376934512,Underweight,7.178548376934512
97,Monthly,29,88.00401130938478,1.6959057711967798,Male,Active,42.270707,Obesity,42.270707
98,Annually,14,55.24097078705029,1.4019779048301213,Female,Sedentary,28.10470063961015,OverWeight,28.10470063961015
99,Monthly,17,28.27853514189816,1.7868969910005204,Male,Sedentary,8.856413265534647,Underweight,8.856413265534647
100,Annually,35,90.14856431237035,2.007234953359437,Male,Low Active,22.37496643760952,Normal,22.37496643760952
101,Monthly,39,14.579726521022689,1.8291546964023153,Female,Low Active,4.357611464766458,Underweight,4.357611464766458
102,Monthly,44,99.47448122107645,1.5784715472813184,Male,Low Active,41.479292,Obesity,41.479292
103,Annually,42,23.029229578816942,1.6084051101654817,Female,Low Active,8.902019079873414,Underweight,8.902019079873414
104,Monthly,29,6.109702994244706,1.5057762116363467,Female,Active,53.327145,Obesity,53.327145
105,Monthly,47,74.13475167142451,1.5271321966059415,Male,Low Active,31.78839274969383,Obesity,31.78839274969383
106,Annually,20,70.22631510716157,1.5569865891252221,Male,Active,28.96877543537221,OverWeight,28.96877543537221
107,Monthly,24,30.715720266606635,1.5387114604674654,Male,Active,12.973176503298642,Underweight,12.973176503298642
108,Annually,54,69.88522847924423,1.9992825107380972,Female,Sedentary,17.483849343840614,Underweight,64.920203
109,Monthly,60,19.709493516367598,1.6623473005886205,Male,Sedentary,7.1323383781330545,Underweight,68.039936
110,Annually,44,59.81397430892405,1.928369235319889,Female,Low Active,16.085044670779997,Underweight,16.085044670779997
111,Monthly,41,79.2315569059583,1.6993488006228255,Female,Sedentary,51.752221,Obesity,51.752221
112,Monthly,39,18.845056773347597,2.0671881596642345,Male,Low Active,41.162801,Obesity,41.162801
113,Monthly,42,33.59137969834282,1.9618102309111147,Male,Active,8.727982199521234,Underweight,8.727982199521234
114,Monthly,19,31.622740102339815,1.7329210494437777,Male,Sedentary,10.530329110396082,Underweight,46.724879
115,Annually,43,46.63435592456331,1.993524068815853,Male,Active,11.73445749134346,Underweight,11.73445749134346
116,Monthly,30,59.42653600412767,1.8644584921938783,Female,Low Active,17.09523114560782,Underweight,17.09523114560782
117,Monthly,44,58.31731869910499,1.8253740303626356,Female,Low Active,17.50224717381386,Underweight,17.50224717381386
118,Annually,21,13.54837504460363,1.711803606686146,Female,Low Active,4.623590216250575,Underweight,4.623590216250575
119,Annually,49,70.04460742362618,1.5851422652134366,Male,Low Active,27.87649796340551,OverWeight,53.052045
120,Monthly,13,44.93041208494426,1.7867217486163742,Male,Active,14.074291903814558,Underweight,14.074291903814558
121,Monthly,43,62.98390168556086,1.895042151973282,Male,Sedentary,17.538474329269953,Underweight,53.58244
122,Annually,41,26.297635626250543,1.5725219568098396,Male,Active,57.891617,Obesity,57.891617
123,Monthly,42,20.589473263647843,1.5555693995600892,Male,Active,8.508763519349378,Underweight,8.508763519349378
124,Monthly,46,87.58758505266314,1.4290741640259437,Female,Low Active,42.887725712025215,Obesity,60.444515
125,Monthly,41,95.6703650950652,1.3817006655714434,Male,Sedentary,50.112895606459105,Obesity,50.112895606459105
126,Annually,32,67.493983837421,2.088423645396045,Male,Active,15.47490030282041,Underweight,15.47490030282041
127,Monthly,59,46.953875686520135,1.5246561945415036,Male,Low Active,20.198894488155826,Normal,20.198894488155826
128,Annually,41,93.6355039963763,1.8868051660538139,Female,Low Active,26.301858627092866,OverWeight,26.301858627092866
129,Annually,16,69.53262081188225,2.080263772469909,Female,Sedentary,16.067628695876117,Underweight,16.067628695876117
130,Monthly,26,23.332940999635458,1.85842127483834,Female,Active,6.7558678492728665,Underweight,62.589012
131,Monthly,51,37.074855039681765,1.8059079024989668,Female,Active,11.368109934772455,Underweight,11.368109934772455
132,Annually,54,36.09154121292662,1.5805804347399428,Female,Low Active,14.446818766851349,Underweight,14.446818766851349
133,Monthly,34,11.254946877387782,1.5742739650401756,Female,Sedentary,4.541327506379841,Underweight,4.541327506379841
134,Annually,25,99.90977845120005,2.089803286662272,Female,Low Active,22.876900337926738,Normal,22.876900337926738
135,Monthly,49,69.68573204047621,1.7941743649730504,Male,Active,21.64784013961732,Normal,21.64784013961732
136,Annually,13,66.77937433055078,2.0366510878762707,Male,Sedentary,16.099377307767327,Underweight,58.378013
137,Annually,54,93.05375654946577,1.9386244736055667,Female,Low Active,24.75976554920635,Normal,58.652598
138,Annually,54,51.0264088383844,1.9161491322530306,Male,Low Active,13.897490657645355,Underweight,13.897490657645355
139,Annually,17,17.638085302787474,1.4182709800805355,Female,Low Active,8.768655445254703,Underweight,8.768655445254703
140,Monthly,13,3.4694793000388624,1.3997480392511266,Male,Active,1.7707798241081074,Underweight,1.7707798241081074
141,Monthly,37,67.67226530667841,1.410381210451882,Male,Sedentary,34.0202646345375,Obesity,34.0202646345375
142,Annually,53,42.71552321712128,1.445275246193623,Male,Active,20.449589830801067,Normal,20.449589830801067
143,Annually,37,80.29126441046193,1.6786175796769218,Male,Active,52.038493,Obesity,52.038493
144,Annually,44,23.80724047271789,1.331186832783606,Male,Active,13.434794638076248,Underweight,13.434794638076248
145,Monthly,10,71.17922807777242,1.4970640731976268,Female,Low Active,31.75941523442582,Obesity,31.75941523442582
146,Annually,54,87.28706897159951,1.8273508642289285,Male,Sedentary,26.140026563251453,OverWeight,26.140026563251453
147,Monthly,28,91.87935948587429,1.8958382824170166,Male,Low Active,25.563209639374076,OverWeight,25.563209639374076
148,Monthly,57,30.307015717367477,1.9424014006184982,Female,Low Active,56.977063,Obesity,56.977063
149,Monthly,15,29.834528110874405,1.988737905012221,Male,Low Active,7.543346725378344,Underweight,7.543346725378344
150,Annually,18,18.723340709396087,1.7030725341641313,Male,Low Active,6.455309214781791,Underweight,52.851302
151,Annually,52,52.915641385942955,1.815058295586692,Male,Active,16.062121554525117,Underweight,66.149925
152,Monthly,13,42.92003995709386,2.083706956059916,Female,Low Active,51.815415,Obesity,51.815415
153,Annually,55,91.14282629803726,1.4563854906869067,Female,Active,42.970440377807165,Obesity,42.970440377807165
154,Monthly,26,72.84819654003523,1.6395819541655936,Male,Active,27.098955097236438,OverWeight,27.098955097236438
155,Annually,55,20.200415438246896,1.4704113623195187,Female,Low Active,9.342919377013725,Underweight,9.342919377013725
156,Annually,30,63.87213521148044,2.0815947498065093,Male,Active,14.740732561941615,Underweight,14.740732561941615
157,Monthly,53,41.16468388845503,1.5446192121387616,Male,Low Active,47.276587,Obesity,47.276587
158,Annually,26,68.11061352551145,1.8597364651901005,Female,Sedentary,19.693004446971432,Normal,58.068074
159,Annually,44,66.94494080422834,1.6746538089471394,Male,Sedentary,23.870838729518333,Normal,23.870838729518333
160,Monthly,34,22.7961843638952,1.5704134672591465,Male,Active,68.450232,Obesity,68.450232
161,Monthly,19,91.67369591632882,2.0948728325059847,Male,Active,47.961605,Obesity,47.961605
162,Monthly,29,66.22548468523212,1.468532461035768,Male,Sedentary,30.708460449030717,Obesity,30.708460449030717
163,Monthly,24,41.907679373586056,1.7241219860958577,Male,Active,14.098004098568294,Underweight,14.098004098568294
164,Monthly,59,71.37501372155708,1.475399390032311,Male,Low Active,32.78891195667082,Obesity,32.78891195667082
165,Monthly,29,86.35485299886726,1.5605210814065484,Male,Active,55.066821,Obesity,55.066821
166,Monthly,59,73.18323291185152,1.6216593111871127,Female,Low Active,27.828663585318676,OverWeight,44.390676
167,Monthly,22,62.85533966308479,1.6753383073832913,Female,Active,22.3942818425601,Normal,22.3942818425601
168,Annually,22,26.753330130142302,1.521460360384823,Female,Sedentary,11.557304743429706,Underweight,11.557304743429706
169,Monthly,12,94.49959032493908,2.074437922094481,Female,Low Active,21.959833335743607,Normal,21.959833335743607
170,Monthly,57,90.40629323049359,1.9617255843744994,Female,Low Active,23.492116766788822,Normal,23.492116766788822
171,Monthly,47,75.71379731494977,2.0377002135481064,Male,Low Active,18.23452464537419,Underweight,18.23452464537419
172,Annually,49,51.744893628184165,1.3947199697799855,Female,Active,26.600724179173024,OverWeight,26.600724179173024
173,Annually,35,41.88392306278776,1.427472536703152,Male,Low Active,20.554732538223895,Normal,20.554732538223895
174,Monthly,42,58.91823960202052,1.9159235120761866,Male,Low Active,16.050679692711782,Underweight,16.050679692711782
175,Monthly,39,73.05622971354511,1.851679534448582,Male,Active,21.30716172234173,Normal,21.30716172234173
176,Monthly,41,6.773119248780659,1.4743865325583443,Female,Active,3.115774447991781,Underweight,3.115774447991781
177,Monthly,39,19.047549960395482,1.4168603862976121,Female,Active,9.488225662107999,Underweight,9.488225662107999
178,Monthly,51,79.58386959686024,1.5584932310836799,Female,Active,32.76538016096816,Obesity,32.76538016096816
179,Monthly,31,66.4658599694512,1.778292081065176,Male,Active,21.01805088766813,Normal,21.01805088766813
180,Annually,24,12.091773529729618,1.667317710918673,Female,Sedentary,4.349639637533876,Underweight,4.349639637533876
181,Monthly,23,42.563950475303315,1.7467446701249705,Female,Active,13.95028485499254,Underweight,13.95028485499254
182,Annually,46,86.81953579692167,1.6622984196512898,Male,Low Active,31.419514897243346,Obesity,31.419514897243346
183,Monthly,59,84.5474196120619,1.7075413639289017,Male,Sedentary,64.354232,Obesity,64.354232
184,Monthly,46,82.0777509874585,1.7219072903054702,Female,Active,27.68253886235731,OverWeight,27.68253886235731
185,Monthly,11,55.642811220574316,1.798780608300436,Male,Active,17.196999139168792,Underweight,17.196999139168792
186,Monthly,56,49.450006503206275,1.7885239303348488,Female,Active,15.458837868115667,Underweight,49.088987
187,Annually,50,43.76037937061301,1.6910603862996982,Female,Active,15.302516133531881,Underweight,15.302516133531881
188,Monthly,49,19.590941411997377,1.6431359151540244,Female,Sedentary,7.256184703281171,Underweight,7.256184703281171
189,Monthly,17,24.26358378569868,2.0141576186321943,Female,Active,5.980920651579587,Underweight,5.980920651579587
190,Monthly,47,38.50248536436948,1.3559271878447627,Female,Sedentary,20.941897356596797,Normal,57.133356
191,Monthly,28,26.2399744974356,1.7133707559695277,Female,Active,8.938418992296137,Underweight,41.468464
192,Annually,60,4.214396905052517,2.080848854093738,Male,Active,0.9733171214307202,Underweight,0.9733171214307202
193,Monthly,19,21.429240066470967,1.5233998721108204,Female,Active,9.233767615997746,Underweight,58.236693
194,Annually,11,11.227943503894858,1.413433981296603,Male,Low Active,5.620166244430477,Underweight,5.620166244430477
195,Annually,13,5.893368325827189,1.7122067263609666,Female,Sedentary,2.010255166551132,Underweight,2.010255166551132
196,Annually,12,3.4614698729602593,1.5184642632488543,Male,Active,1.5012444172503878,Underweight,1.5012444172503878
197,Monthly,59,91.6967147787277,1.6325809916135894,Male,Low Active,34.40363292080584,Obesity,34.40363292080584
198,Annually,60,74.5495364361626,1.8505227736872425,Female,Active,21.769882196274786,Normal,21.769882196274786
199,Annually,52,45.63984740478312,1.978711778827975,Female,Active,11.656793570080112,Underweight,11.656793570080112
200,Annually,31,69.58366750027157,1.4300456171397224,Female,Low Active,34.02573634950691,Obesity,40.49035
201,Monthly,58,33.33242323157814,2.0814702685585633,Male,Active,53.003529,Obesity,53.003529
202,Monthly,14,36.9001617200034,1.4122603493935555,Male,Low Active,18.50115056211886,Normal,68.534752
203,Annually,16,37.53994864027951,1.5042507376485088,Male,Sedentary,16.590260594994753,Underweight,16.590260594994753
204,Annually,28,6.578992415914785,1.6155052233943756,Male,Sedentary,2.5208247410634477,Underweight,2.5208247410634477
205,Annually,10,11.487257993396364,1.6777300469417846,Male,Sedentary,4.081052766080342,Underweight,4.081052766080342
206,Annually,34,68.08082708545986,2.0796241707733145,Male,Active,15.74182609407526,Underweight,15.74182609407526
207,Annually,31,30.204626218886094,1.6097291218310532,Male,Low Active,11.656491832374893,Underweight,11.656491832374893
208,Monthly,34,51.631210270378155,1.9778188677536508,Female,Active,13.198946670084966,Underweight,13.198946670084966
209,Annually,26,53.70400653884483,1.5393246958206661,Male,Active,22.664503685246107,Normal,22.664503685246107
210,Annually,33,58.51540366423742,1.8861883245982143,Male,Sedentary,16.447507791110702,Underweight,16.447507791110702
211,Monthly,55,13.867150247338298,2.0573644015575177,Male,Active,3.2761575523527413,Underweight,3.2761575523527413
212,Annually,52,52.141193653883846,1.337283217839509,Female,Low Active,66.344649,Obesity,66.344649
213,Monthly,49,34.329129980239756,1.8897184732757788,Male,Sedentary,9.613213325866976,Underweight,9.613213325866976
214,Annually,29,30.57022750267132,1.4634484705990218,Female,Active,66.072455,Obesity,41.654335
215,Annually,21,94.20370860813374,1.3241877023332689,Female,Active,53.72406920046789,Obesity,53.72406920046789
216,Annually,37,14.81480667922599,1.4334325840338613,Female,Active,49.305146,Obesity,49.305146
217,Monthly,31,21.687134153478627,1.6238560326915197,Male,Low Active,45.881667,Obesity,45.881667
218,Annually,23,36.91806736032805,2.0233669218770483,Male,Low Active,9.017572988434955,Underweight,69.917357
219,Annually,33,33.28432729705044,2.0094066668963175,Male,Active,8.243356957112084,Underweight,50.974677
220,Annually,54,10.45889485118551,1.7709617586873398,Female,Low Active,3.334781857826723,Underweight,3.334781857826723
221,Annually,50,17.568224769072096,1.9001562568694226,Male,Active,4.865743902441154,Underweight,4.865743902441154
222,Monthly,57,60.89542976339123,1.4153639702784606,Male,Sedentary,30.39823918845604,Obesity,30.39823918845604
223,Monthly,57,5.3332148182101955,1.7069764898762065,Female,Active,1.8303493858333362,Underweight,1.8303493858333362
224,Monthly,48,36.007210361794904,1.8216481694590123,Female,Sedentary,10.850767864629093,Underweight,43.290961
225,Annually,30,99.32181036206181,1.3226430243644525,Male,Active,56.77528661850632,Obesity,56.77528661850632
226,Annually,54,10.654822664630698,1.3187449667266848,Male,Active,6.126671510953078,Underweight,6.126671510953078
227,Annually,57,31.499639564563484,1.6522759796984372,Female,Active,11.538262254643184,Underweight,11.538262254643184
228,Monthly,52,45.22769184775107,1.8102681879553748,Male,Active,13.801255162857458,Underweight,13.801255162857458
229,Annually,39,39.31042528235095,1.3537535630533406,Male,Low Active,21.4500602756069,Normal,53.045913
230,Monthly,32,71.04297286872824,1.8033085063334284,Male,Low Active,21.84645950432867,Normal,21.84645950432867
231,Annually,16,6.307511603327648,1.9824012013797647,Female,Sedentary,1.6049996930061456,Underweight,1.6049996930061456
232,Monthly,10,43.829640269380654,1.7615663838663238,Female,Low Active,14.124395770931473,Underweight,14.124395770931473
233,Annually,23,54.377178300513485,1.8235441959518996,Female,Active,16.352497101440996,Underweight,16.352497101440996
234,Monthly,54,40.0018891691142,1.4130454502465652,Female,Low Active,20.034026326848995,Normal,20.034026326848995
235,Annually,53,91.09561766899796,1.5235689037426576,Female,Sedentary,39.24400160149906,Obesity,39.24400160149906
236,Annually,26,69.90260907239397,1.558181109437721,Male,Active,54.462128,Obesity,54.462128
237,Annually,33,57.36697647811859,1.8957986672771994,Female,Low Active,68.165527,Obesity,68.165527
238,Monthly,60,61.36405165321101,1.8411660317100973,Male,Low Active,18.102064963434522,Underweight,18.102064963434522
239,Monthly,24,41.79301653368256,1.8278080668257242,Male,Low Active,12.509574542326302,Underweight,66.123971
240,Monthly,38,95.04870395205539,1.8514298443640134,Female,Low Active,43.366463,Obesity,43.366463
241,Monthly,20,60.867306058879244,1.3764272262169406,Female,Low Active,32.12754729360641,Obesity,32.12754729360641
242,Monthly,22,75.1284416935459,1.723539574386385,Female,Active,43.857666,Obesity,43.857666
243,Monthly,35,88.42914750331317,1.9481470620786212,Female,Active,52.389514,Obesity,52.389514
244,Annually,12,5.122548539642738,1.5486133396084123,Male,Sedentary,2.135994305292206,Underweight,2.135994305292206
245,Annually,14,65.36158063200598,1.688765803867948,Male,Active,22.91836826286665,Normal,22.91836826286665
246,Monthly,55,54.64987922375749,2.0198029999783857,Male,Active,66.09887,Obesity,66.09887
247,Monthly,21,30.861699878689926,2.0793385964495017,Male,Sedentary,7.137882813354927,Underweight,7.137882813354927
248,Monthly,41,64.93178692453822,1.9706248010408685,Male,Sedentary,16.720507937241656,Underweight,16.720507937241656
249,Monthly,10,94.49127245475503,1.92415310250964,Male,Active,41.433801,Obesity,41.433801
250,Monthly,41,92.35929771838113,1.9683386989043057,Male,Active,23.838611710169985,Normal,23.838611710169985
251,Annually,25,85.76573798254259,1.3640500909662983,Male,Low Active,46.0949333291995,Obesity,46.0949333291995
252,Annually,21,77.38523438874525,1.765551215003175,Female,Active,24.82546901820975,Normal,24.82546901820975
253,Annually,47,52.395764066966976,1.6438510158524577,Female,Low Active,19.389708013129045,Normal,19.389708013129045
254,Annually,38,58.57788035533303,1.3933768748080357,Male,Active,30.171468992812773,Obesity,30.171468992812773
255,Monthly,36,54.532749231502194,1.5045234767477766,Female,Sedentary,24.091256694033913,Normal,24.091256694033913
256,Monthly,44,68.66693100078078,1.424529924196952,Male,Low Active,33.83798427272674,Obesity,33.83798427272674
257,Annually,20,68.77635918838139,1.7141807388602734,Male,Low Active,56.649727,Obesity,63.309685
258,Annually,60,72.29438696369802,1.9166579292491024,Male,Active,19.67955886227034,Normal,19.67955886227034
259,Monthly,51,84.27295040850949,1.670796002054968,Female,Low Active,63.930161,Obesity,63.930161
260,Annually,57,11.669666947273289,1.7479095787934826,Female,Low Active,57.884853,Obesity,57.884853
261,Monthly,26,6.143367284520865,2.0429284677173447,Female,Sedentary,1.4719740716316287,Underweight,1.4719740716316287
262,Monthly,42,9.956644842841893,1.3554990609477042,Male,Low Active,5.4189428879642865,Underweight,5.4189428879642865
263,Monthly,31,34.26802754279856,1.365832850295421,Female,Active,18.369358898224462,Underweight,18.369358898224462
264,Monthly,17,91.84678144844364,1.3901909490433157,Male,Sedentary,47.52422340238954,Obesity,47.52422340238954
265,Monthly,12,39.59044562392505,1.4935683381074243,Male,Sedentary,17.74762293386763,Underweight,17.74762293386763
266,Monthly,51,9.333543186231084,1.805801710020289,Female,Low Active,2.862242469344542,Underweight,66.47753
