,Area_name,Area(Sq.Mt.),Soil,Distance_from_city,Budget,Passenger_traffic,Revenue,Time_to_build
18,"791 Jeffrey Terrace Apt. 684
Kimberlyside, WI 34360",30652,Silt,24.35932175,39847600,134915741,1411890485,16.83
19,"01347 Green Cove
New Bonnie, DE 81130",30625,Sand,69.39392342,39812500,111834969,1768486414,16.81
20,"9690 Johnson Forges Apt. 467
East Jennifer, CA 71077",31042,Silt,89.30463776,40354600,128181671,1597572111,17.04
21,"780 Rhodes Shores Apt. 295
Davidshire, MO 03533",30695,Sand,68.39284079,39903500,120843837,869791522.8,16.85
22,"PSC 9834, Box 3802
APO AE 77553",30884,Loam,42.50163339,40149200,88524834,1773634235,16.96
23,"03209 Jennifer Land
North Justin, NC 56781",30930,Silt,48.24280968,40209000,144881662,1080249066,16.98
24,"27607 Obrien Vista Suite 432
North Hannah, NM 49631",30784,Sand,99.78122154,40019200,126721698,876982737.8,16.9
25,"76394 Melissa Highway Suite 369
Anthonyshire, NV 66060",30923,Loam,67.48556514,40199900,106094319,1592741261,16.98
26,"11838 Kelli Port
West John, NM 63709",30690,Loam,43.89686399,39897000,73803569,1826861356,16.85
27,"8519 Oneill Springs Suite 839
Diazmouth, MD 17369",30810,Loam,55.13839203,40053000,102521540,1238457755,16.91
28,"46088 Heather Shoals Suite 191
Duncanland, MN 14661",30692,Loam,17.29027456,39899600,81512867,1223454397,16.85
29,"9759 Christine Pines
North Jasonmouth, GA 17405",30956,Sand,83.11447851,40242800,81324248,1567888031,16.99
30,"44748 Lee Haven Apt. 681
Archerville, IL 19334",30759,Clay,65.75040164,39986700,157238581,1375876330,16.89
31,"104 Beck Forest
Nicoleland, CT 83202",31206,Silt,79.68635864,40567800,124699681,1155656777,17.13
32,"91412 Evans Manors Suite 597
Lake Oliviatown, LA 15820",30813,Silt,86.13541671,40056900,128335441,899959615.2,16.92
33,"66435 Alvarado Brook
Jamieshire, AK 97901",30869,Clay,88.92620937,40129700,101212545,1626158555,16.95
34,"2408 Cody Summit
New Christinechester, TX 81286",30922,Loam,62.38273655,40198600,137729025,1290570968,16.98
35,"Unit 6840 Box 4508
DPO AA 23698",31016,Silt,93.6062416,40320800,91246885,1549626244,17.03
36,"2941 Nicholas Well
Mirandashire, ND 18236",30985,Loam,82.03861798,40280500,147431495,1265910584,17.01
37,"94043 Soto Centers
Kaylaberg, ME 53338",30639,Clay,74.34866533,39830700,82708869,1032301453,16.82
38,"12641 Erica Prairie Apt. 547
Brianville, CA 52300",30667,Silt,30.56766816,39867100,114014569,1275954272,16.84
39,"387 Adrienne Lane
Shanehaven, MN 16938",30457,Sand,68.14601434,39594100,139935966,1332667432,16.72
40,"316 Stone Via Suite 031
North Richardmouth, OH 25043",30875,Clay,51.34957909,40137500,84939499,1230449673,16.95
41,"738 Alyssa Rue
Jonesfort, NY 78757",30689,Loam,6.735420864,39895700,113267751,1296367092,16.85
42,"876 Jackson Valleys Apt. 939
Vincentshire, CT 63628",30687,Sand,32.0673173,39893100,134947695,1655453069,16.85
43,"8968 Charles Streets
Port Beth, NM 73481",30441,Sand,14.87204571,39573300,79517052,998747386.2,16.71
44,"9691 Valdez Via Apt. 197
North Jessicafurt, SC 77235",30957,Silt,74.01864277,40244100,104649443,1662798133,17
45,"9399 Jason Run
Hunterfort, OR 91648",30927,Loam,56.74318231,40205100,147046064,934686578.6,16.98
46,"6387 Gonzalez Rest
Jenniferbury, AR 05934",30818,Loam,21.37430893,40063400,112484672,1518122805,16.92
47,"2385 Johnson Rapids
Vasquezstad, NH 93819",30911,Clay,94.94078967,40184300,143513108,1447017386,16.97
48,"22415 Warren Vista Suite 812
West Maureenfurt, FL 52389",30709,Sand,10.65346067,39921700,72283551,1856031334,16.86
49,"2131 Adams Fall Apt. 941
East Steve, TN 96321",30794,Sand,10.61038598,40032200,153582295,967078369.2,16.91
50,"6185 Heidi Garden
Lake Michael, CT 65856",30935,Clay,26.92405117,40215500,80669616,1532072199,16.98
51,"4257 Sydney Forks
Burtonshire, NH 48639",30448,Clay,64.81925141,39582400,72561889,1766442099,16.72
52,"8111 Zachary Lock Apt. 724
Morganhaven, AK 09743",30551,Sand,97.04611775,39716300,141800848,870884769.2,16.77
53,"45062 Brennan Street Apt. 035
South Jameschester, GA 91981",30989,Loam,7.371002397,40285700,103292150,947432879.6,17.01
54,"910 Tracy Rest
West Breannamouth, SD 87723",30858,Clay,35.41665892,40115400,155818369,1597816736,16.94
55,"9889 Weber Passage
Port Ryanview, KY 85797",30939,Clay,55.19616263,40220700,112367740,1228290886,16.99
56,"255 Yolanda Lane
Banksville, NV 02260",30720,Sand,49.10292489,39936000,134575856,1842842686,16.87
57,"604 Regina Squares
Aimeeview, AZ 33137",30856,Clay,97.4032582,40112800,147043595,1271578632,16.94
58,"54023 Gomez Views
Leton, IA 68886",30828,Silt,6.130789028,40076400,139289305,1625945836,16.92
59,"62827 Christian Mountain Apt. 685
Rodneyside, GA 42085",30725,Sand,65.74195272,39942500,139117054,1586263061,16.87
60,"37601 Harrington Lodge Apt. 855
Millerhaven, RI 99162",30535,Loam,53.55778062,39695500,154232784,971432286,16.76
61,"267 Smith Tunnel Suite 803
East Bonnie, OK 38130",30609,Clay,27.04217485,39791700,155445439,1066408102,16.8
62,"239 Ford Walks Apt. 177
Markport, IL 93261",30752,Sand,27.37709424,39977600,147610990,1386926275,16.88
63,"8602 Sharp Crossroad
Lake Ronaldville, NC 74049",30845,Clay,27.68545937,40098500,77564086,1622564747,16.93
64,"718 Harris Plains Apt. 255
South Brenda, ND 69835",30754,Loam,44.01209905,39980200,106887192,1403649636,16.88
65,"10442 Sara Lock Suite 465
East George, MA 92889",30943,Loam,80.53979293,40225900,76424397,926987137.6,16.99
66,"7356 Chen Branch
East Jesse, VA 08658",31032,Loam,94.82722561,40341600,131883586,881645389.8,17.04
67,"325 Marc Views
Hartstad, VA 14765",30749,Silt,80.70604278,39973700,106787870,1612791515,16.88
68,"9909 Christian Overpass Suite 774
Hernandezhaven, ND 59230",30648,Sand,23.43020285,39842400,98854219,1467853153,16.83
69,"00950 Johnson Canyon
Lake Matthewview, SD 69557",30688,Clay,35.04190116,39894400,94872893,1399804642,16.85
70,"983 Campbell Meadow
East Hunter, ME 43217",31203,Silt,74.15832861,40563900,138146248,1224432983,17.13
71,"963 Perkins Locks Apt. 865
Samanthamouth, MT 08323",30975,Loam,74.10666736,40267500,108337281,1575877067,17.01
72,"6425 Jamie Meadows
North Brian, WA 73689",30963,Clay,53.74467132,40251900,93223876,1362240887,17
73,"833 Francis Well Apt. 549
South Nicholas, AZ 76143",30823,Loam,61.38470192,40069900,144332062,1417194892,16.92
74,"3366 Willis Village Apt. 091
Lake Crystal, NM 13231",30801,Silt,31.85972658,40041300,103914348,1133956518,16.91
75,"37295 Paul Divide Apt. 610
Lake Lanceville, NE 58957",30631,Silt,63.63729696,39820300,132625750,1153049071,16.82
76,"22257 Miller Knolls Suite 293
Port Davidview, DC 02898",30972,Sand,82.63229066,40263600,108387294,867907676.4,17
77,"4013 Price Union
North Kayla, CT 56273",31089,Clay,61.36871851,40415700,132723421,1577125000,17.07
78,"89543 Tran Branch
New Kenneth, MI 85478",31062,Silt,61.2801559,40380600,156328681,1380778333,17.05
79,"3346 Kirk Prairie
Port Sheila, NH 85279",30848,Clay,91.87031989,40102400,119203592,1336182711,16.94
80,"8263 Richard Road Apt. 102
Port Sherry, DE 68293",30853,Silt,87.37004036,40108900,154601262,996728878.2,16.94
81,"72873 Joan Parkways
East Jonathantown, AL 91432",30632,Clay,13.24661342,39821600,98383252,1731914072,16.82
82,"12197 Michael Burgs
Medinabury, CO 12795",31056,Clay,60.50529158,40372800,114616828,1115261058,17.05
83,"407 Rachel Rapids
Darrenton, NV 99549",30786,Silt,83.87651561,40021800,96710877,1618385706,16.9
84,"PSC 5843, Box 6929
APO AA 99368",30807,Clay,24.15600239,40049100,108585831,1752219241,16.91
85,"749 Amy Squares
Port Amyburgh, AZ 62270",30863,Loam,99.76687569,40121900,154393422,1135458044,16.94
86,"822 Williams Key
Robertton, VA 03511",30822,Loam,60.89869728,40068600,107159370,1002303470,16.92
87,"5172 Donald Cape Apt. 427
Port Brittany, NC 65359",30738,Silt,92.17771805,39959400,124047787,1431368615,16.88
88,"556 Aaron Oval Apt. 045
Hesterborough, NY 22574",31167,Clay,50.43102087,40517100,106733206,1014932785,17.11
89,"4987 Williamson Crossing
New Gabrielborough, WA 61681",31236,Sand,64.26890094,40606800,141059699,1125080110,17.15
90,"034 Nathan Shores
East Brenda, AL 01525",30760,Sand,50.67956864,39988000,97563418,1282272854,16.89
91,"76988 Hughes Greens
New Christopherberg, ID 21589",30994,Sand,6.707410884,40292200,126201939,1502409583,17.02
92,"4424 Trevino Hollow Apt. 914
Youngmouth, TX 39113",30789,Silt,67.54468089,40025700,109328060,1424044166,16.9
93,"788 Dalton Fords
Brendafort, WY 80407",30908,Loam,70.61411243,40180400,116574476,1400937088,16.97
94,"216 Washington Summit
North Jonathon, NE 06416",30601,Sand,47.81861923,39781300,98513148,1167905177,16.8
95,"0411 Boyle Forks
North Bryan, RI 00975",31096,Sand,54.12603764,40424800,144491240,1508537346,17.07
96,"4265 Kara Pine
Swansonside, WI 74927",30770,Loam,68.32013094,40001000,82885622,1863586756,16.89
97,"931 Kayla Parks Apt. 200
Rollinsstad, LA 36431",30630,Sand,90.92056353,39819000,92568023,905699571.8,16.82
98,"851 Long Spur
Castilloburgh, VA 32139",30733,Sand,12.26422619,39952900,153266355,1485531181,16.87
99,"3427 Martinez Parkway Apt. 101
Lorishire, HI 52057",30835,Loam,33.45858969,40085500,114804781,985387095.8,16.93
100,"99258 Michael Harbor
North Stevenchester, GA 52040",30845,Clay,35.08270945,40098500,140304075,1511275501,16.93
101,"35557 Harper Port
Davistown, ND 20954",30823,Sand,90.17045028,40069900,139769996,1654510049,16.92
102,"2114 Gail Ville
Franklinstad, WY 22040",30744,Sand,72.07716797,39967200,105891210,1777211771,16.88
103,"9881 Stephanie Villages
Lake Brenda, VT 95624",31025,Sand,34.8630208,40332500,135028843,1062400079,17.03
104,"644 Smith Lodge Apt. 389
Santiagoside, AZ 43205",30877,Sand,45.8510462,40140100,81059821,1411117136,16.95
105,"93928 Colleen Common
Heathershire, NV 31244",31019,Sand,59.26573868,40324700,132789018,1453265804,17.03
106,"07521 Johnson Mission Apt. 159
Ricestad, NM 90333",30869,Loam,63.21260697,40129700,139983002,1661602439,16.95
107,"PSC 0448, Box 5875
APO AA 18084",30995,Loam,33.73015795,40293500,115449047,1077438943,17.02
108,"6024 Davis Square
North Terri, HI 41555",31146,Clay,62.78488236,40489800,124565684,1444681505,17.1
109,"257 Joanna Prairie
West Cynthiachester, MD 75460",30778,Loam,30.32395296,40011400,145432751,1265782094,16.9
110,"PSC 7056, Box 3695
APO AE 97182",30508,Loam,13.68959354,39660400,75050465,849343338.2,16.75
111,"7071 Campos Fort Apt. 540
Smithmouth, ID 65025",30850,Sand,22.96866613,40105000,121893756,857988620,16.94
112,"5503 Barron Ranch Apt. 595
Tonyaberg, HI 05803",30487,Loam,69.20880333,39633100,83677341,1106862986,16.74
113,"710 Javier Island Suite 033
East Eric, MT 06329",30962,Sand,53.08252205,40250600,88145687,1584172373,17
114,"PSC 9763, Box 5011
APO AP 60936",31131,Clay,48.78420592,40470300,156450835,1126956510,17.09
115,"961 Hall Canyon Suite 629
Jonesville, WI 20319",31020,Sand,78.17803753,40326000,110315310,1153060128,17.03
116,"2716 Jasmine Prairie
North Michaela, VT 75728",30616,Silt,84.7990536,39800800,135872467,1052164499,16.81
117,"32860 Elizabeth Mission
Tonystad, CT 96328",30728,Loam,85.36079164,39946400,117653633,1663351871,16.87
118,"311 Brooks Islands
Lake Coreyborough, NJ 25290",30879,Clay,86.367777,40142700,74285045,1569921867,16.95
119,"3303 Maynard Ranch Apt. 552
Christineville, SC 96315",30889,Sand,55.74077975,40155700,113062294,1757263115,16.96
120,"6176 Luis Row
New Brandyton, CA 12844",30938,Loam,67.60339565,40219400,156161200,1197542399,16.98
121,"2075 Joshua Land
Turnerhaven, OR 05077",30983,Sand,70.31660608,40277900,152332248,1217300567,17.01
122,"21389 Randy Villages Suite 315
Robertfort, NJ 49591",31228,Clay,93.40620137,40596400,139318593,1762486657,17.14
123,"515 Brooks Overpass
South Robert, MS 59849",30632,Sand,26.84947021,39821600,149135608,1517572842,16.82
124,"0141 Curtis Village
Hodgechester, CA 19787",30977,Loam,64.05010732,40270100,77383835,1834349884,17.01
125,"USCGC Robinson
FPO AE 16246",30968,Loam,80.48084664,40258400,156760020,1546177930,17
126,"238 Melissa Harbor
South Jasmintown, KS 19633",30862,Silt,66.88309919,40120600,118372782,1414073910,16.94
127,"880 Patrick Junctions Apt. 200
South Robertland, FL 85116",30638,Clay,91.25998073,39829400,132342812,1392607798,16.82
128,"8065 Daniel Circle Apt. 923
Jeffersonland, AL 26152",30847,Clay,96.20508425,40101100,154992863,1020029654,16.94
129,"717 Lisa Light Apt. 099
Clarkfurt, ND 79791",30973,Sand,83.52830649,40264900,124121492,854496044.2,17
130,"397 Keith Union Apt. 032
New Tiffanyview, DC 81392",31050,Loam,34.52578869,40365000,118420001,1337173097,17.05
131,"2862 Powell Garden Suite 475
Hughesborough, WA 18120",30762,Clay,82.11365621,39990600,152399693,1298852562,16.89
132,"31820 Horne Tunnel Apt. 539
West Laura, MA 97722",30985,Sand,43.99546146,40280500,147984199,1667366243,17.01
133,"8425 Adam Street Suite 882
Watsonburgh, PA 36794",30917,Clay,99.19395734,40192100,82002315,973786126.4,16.97
134,"USNV Duffy
FPO AE 25809",30682,Loam,70.76774804,39886600,98493195,1674499886,16.84
135,"USCGC Hernandez
FPO AA 57719",30933,Loam,40.97845955,40212900,100434683,848460769,16.98
136,"2956 Robert Burgs
Hallfort, WY 98268",30835,Loam,67.96831468,40085500,149219953,1649515640,16.93
137,"07475 Julie Terrace Suite 839
Lake Robertmouth, VA 61368",31005,Sand,73.17359849,40306500,104503855,1587204985,17.02
138,"PSC 2089, Box 2690
APO AA 56387",30896,Sand,64.46958181,40164800,130013818,1535728358,16.96
139,"0116 Amanda Passage Suite 524
Rayfurt, ID 03224",31018,Clay,30.69862226,40323400,116778270,1623364810,17.03
140,"62690 Heather Camp
Port Elizabeth, OR 07301",30827,Clay,58.16483703,40075100,140781874,1157482343,16.92
141,"2784 Hannah Parkways
Lauraborough, IL 32618",30797,Sand,37.60030047,40036100,76182732,1594313281,16.91
142,"08398 Ferguson Turnpike
West Sherichester, AK 16182",30644,Loam,28.08543488,39837200,90749714,1273187562,16.82
143,"74787 Bailey Fields Apt. 380
South Briana, AK 38048",31044,Loam,21.46533248,40357200,146651611,1565103077,17.04
144,"4280 Newman Track Apt. 339
Kristinaport, GA 36763",30840,Clay,89.47257067,40092000,137264420,1747621489,16.93
145,"038 Lisa Springs
Taraland, AK 97451",30733,Sand,5.697834816,39952900,155850875,1561508998,16.87
146,"316 Judy Estate
North Johnhaven, MI 35415",30912,Clay,59.42903679,40185600,155703618,919846332.2,16.97
147,"5430 Brandon Brooks Suite 221
South Kimberlyburgh, TX 16960",30937,Loam,43.10771754,40218100,101627083,1546584429,16.98
148,"USNS Green
FPO AP 21059",30998,Sand,83.51331245,40297400,97216779,1356698675,17.02
149,"39585 Gonzales Cape
East Megan, RI 45430",30885,Sand,59.81337737,40150500,111861226,1698477958,16.96
150,"915 Michael Cliff
Gutierrezshire, SD 99403",30991,Loam,78.37754902,40288300,119870256,1561474058,17.01
151,"00101 Matthew Ramp Apt. 391
Gibbstown, VA 43947",30920,Loam,32.87908254,40196000,120331199,920975969.8,16.98
152,"74440 Dale Greens
South Kennethmouth, DE 86441",30888,Sand,80.77039273,40154400,134502162,1714388110,16.96
153,"60666 Carol Port
Port Zacharyside, ND 20983",30713,Loam,34.0152381,39926900,80591082,1222131393,16.86
154,"846 Tara Crescent
Stokestown, CO 26903",30904,Sand,45.8774845,40175200,122601788,1474608488,16.97
155,"92193 Adrian Squares Suite 072
Benjaminmouth, MD 79527",30932,Clay,85.38089421,40211600,109415914,1028420952,16.98
156,"2547 Darryl Rapid Suite 595
Brandonshire, CA 10444",30408,Silt,12.30855912,39530400,100441094,1855748877,16.69
157,"196 William Row
New Stephanie, AK 87230",30756,Loam,35.01271936,39982800,155476301,1253198539,16.89
158,"593 Hannah Inlet
Amyshire, RI 25540",30685,Loam,28.11031212,39890500,111862377,1035377135,16.85
159,"2037 Kristina Harbors
Andersonville, VT 28206",30713,Loam,71.10310873,39926900,145280061,1795144561,16.86
160,"2157 Andrews Manor Apt. 908
West Angela, WY 11150",30732,Clay,31.66939553,39951600,103345953,1390801218,16.87
161,"603 Ryan Mountains Apt. 230
Zacharyborough, ME 80869",30830,Loam,62.72679075,40079000,143883458,1008624671,16.93
162,"156 Adams Common Suite 004
Lake Markfort, NH 23145",30454,Clay,21.34025511,39590200,129757790,1479252720,16.72
163,"3626 Katrina Dam
Greenhaven, MD 59353",30563,Clay,61.97552679,39731900,158311099,1699384552,16.78
164,"3488 Angela Plaza
Ramseyville, GA 30532",30581,Clay,43.92846276,39755300,126244616,1035636570,16.79
165,"0750 Leonard Lake Suite 267
Michaeltown, MA 30714",30761,Loam,8.172958914,39989300,150195867,1334300635,16.89
166,"58932 Marquez Path Suite 246
Bullockville, MT 11261",30604,Clay,66.8835311,39785200,119013474,1372695086,16.8
167,"936 Lauren Port
Port Willie, AK 32887",31042,Loam,42.88248656,40354600,124757604,1183080968,17.04
168,"6601 Coffey Port
East Michaelmouth, MI 65835",30560,Clay,20.00739448,39728000,145106439,1808896517,16.78
169,"590 Thompson Centers
North Tylerchester, NJ 62780",31057,Sand,88.89806542,40374100,102334475,1680010852,17.05
170,"310 Lara Ranch
Moraleshaven, OK 09073",30730,Silt,56.44100056,39949000,94600998,1000953491,16.87
171,"5778 Manuel Lodge Suite 958
Douglasstad, DE 94837",31210,Silt,46.01069174,40573000,102834415,1728913851,17.13
172,"9824 Charles Motorway Apt. 191
South Melissa, VT 72344",31131,Silt,18.04504435,40470300,92487801,1272701543,17.09
173,"80117 Carroll Hill Suite 699
Robertchester, CO 56160",30988,Sand,80.47372547,40284400,97699153,1543244852,17.01
174,"5974 Williams Oval
Elizabethside, NV 26515",30808,Silt,92.65145075,40050400,114934781,1818190126,16.91
175,"2346 John Flat
Rothchester, NH 91835",30987,Clay,7.284759647,40283100,104001109,1212947252,17.01
176,"0020 Melton Harbors Apt. 218
Garcialand, DE 61835",30977,Loam,65.58820691,40270100,147305357,1608608922,17.01
177,"0752 Cruz Motorway Suite 066
Lake Brandon, VA 86145",30744,Clay,47.80022824,39967200,98375652,850841289.2,16.88
178,"175 Renee Brooks
Millerburgh, NV 77262",30923,Loam,33.60125013,40199900,88808386,1067442290,16.98
179,"98869 Krystal Villages Apt. 435
North Warrenfurt, DC 39396",30979,Clay,85.04529531,40272700,117839108,867109052.4,17.01
180,"3896 Davila Loop Apt. 045
Russellfurt, NJ 79177",30685,Loam,33.87379549,39890500,124092643,1763112859,16.85
181,"8390 Bennett Hills Suite 527
New Emily, MN 45533",31160,Clay,79.80353848,40508000,101910821,1806506545,17.11
182,"77528 Sanchez Highway Apt. 198
Justinchester, KY 54996",30953,Clay,82.76339275,40238900,146117425,1752936834,16.99
183,"2586 Morris Mill Suite 444
Kellyport, MT 55226",30922,Loam,67.53689939,40198600,115999333,907668460.8,16.98
184,"1812 Kelly Ports
East Veronicahaven, SC 32889",31009,Clay,44.94481733,40311700,75884664,1407942807,17.02
185,"38570 Maldonado Canyon
Richardland, UT 23770",30685,Sand,43.07556749,39890500,143813153,1696298132,16.85
186,"10376 Christine Lodge
Christopherborough, KS 48576",31058,Silt,79.18913902,40375400,135592834,1513970845,17.05
187,"994 Schultz Inlet
Kevinstad, ME 04180",31170,Clay,15.41016798,40521000,147244843,1491071329,17.11
188,"344 Richard Mission
West Tinaton, GA 31053",30733,Loam,72.86867508,39952900,101151922,1346355680,16.87
189,"0036 Lisa Wells Suite 822
North Kimberlyland, IL 27201",30527,Sand,99.5785475,39685100,137516056,1796952569,16.76
190,"522 Emily Squares
Johnsonborough, PA 74463",31172,Silt,21.24867119,40523600,97000283,936670158.6,17.11
191,"399 Stacey Center
Kingfort, DC 61098",31093,Sand,42.91218375,40420900,111015496,1210368952,17.07
192,"2852 Virginia Falls Apt. 788
Lake Anthonychester, TN 09759",30765,Silt,96.19251446,39994500,125441113,1651721909,16.89
193,"57210 Rodriguez Rapid Apt. 741
Port Cherylstad, NJ 49573",30923,Loam,69.31796496,40199900,92366250,1004565329,16.98
194,"976 Pineda Throughway
Masonhaven, MO 89941",31039,Silt,73.42428934,40350700,158096337,1315859642,17.04
195,"38444 Madden Plain Suite 529
West Erinmouth, AR 26241",30745,Clay,31.62368615,39968500,119622151,1805942741,16.88
196,"9431 James Turnpike Suite 317
East Karen, NH 09292",30567,Loam,69.2985101,39737100,103321614,898121765.2,16.78
197,"USNV Garcia
FPO AE 69329",31238,Sand,94.12849281,40609400,152761344,1357649885,17.15
198,"238 Shaw Greens
East Cathybury, NE 28954",30459,Sand,43.13400634,39596700,129732602,1391604692,16.72
199,"95695 Brianna Harbors
Lake Roberthaven, TX 56322",30833,Clay,37.68101958,40082900,104419387,1647911902,16.93
200,"Unit 9687 Box 9173
DPO AP 14533",30723,Sand,99.43839257,39939900,75671169,1345259307,16.87
201,"271 Edwards Harbors
Alexandershire, OH 48097",30843,Loam,22.23953904,40095900,110767022,1843742129,16.93
202,"12970 Allen Mountains
Smithview, MA 05854",30842,Clay,44.34247882,40094600,144504209,1674922562,16.93
203,"69175 Davis Parkways Apt. 170
Ginaberg, FL 24391",30859,Silt,17.78678496,40116700,134066625,1691404873,16.94
204,"3195 Wise Extensions Apt. 338
Brendaport, KS 15663",30926,Loam,96.42373218,40203800,157589919,848141012.6,16.98
205,"872 James Loop
West Vincent, MT 68087",30763,Loam,45.74665517,39991900,83467339,1058105268,16.89
206,"90385 Morris Place Apt. 355
Port Jameston, TN 44930",30835,Silt,67.05927067,40085500,90268272,1105339134,16.93
207,"987 Cook Tunnel Apt. 986
Port Michaelfort, AZ 89896",31013,Sand,52.75021829,40316900,116497296,1853272258,17.03
208,"6855 Amanda Rapid Suite 486
Scottshire, NV 54811",30539,Loam,79.34738191,39700700,109204324,1696639365,16.77
209,"03812 Daniel Square
East Charles, IN 41499",31049,Sand,38.93019958,40363700,72515797,1557128389,17.05
210,"66046 Clark Pines
Andreafurt, DE 26393",30899,Loam,77.87447271,40168700,104197825,981874825.8,16.96
211,"97795 Christopher Court Suite 839
Allenberg, VT 39767",30724,Clay,40.26219843,39941200,111335209,1850375488,16.87
212,"Unit 2624 Box 3271
DPO AE 35749",30695,Loam,76.05467323,39903500,105830399,1409181842,16.85
213,"680 Katherine Glen
Choistad, NE 56350",30729,Sand,98.22204366,39947700,132234768,1600488587,16.87
214,"9482 Brown Branch
Hawkinsport, PA 03635",30622,Loam,67.8413154,39808600,98565301,1057745911,16.81
215,"5585 Hays Plains
Ramosshire, TN 98870",30737,Sand,25.50074722,39958100,136042314,1473214046,16.87
216,"7241 Herrera Ramp Apt. 543
Lake Jennifershire, NM 97491",31222,Clay,55.70144433,40588600,79975632,1706829432,17.14
217,"7957 Kenneth Shoals Apt. 844
Joshuamouth, MS 52774",30686,Clay,93.47764426,39891800,122899861,1626238075,16.85
218,"9036 James Union
Melissaton, NJ 21705",30603,Clay,12.04890796,39783900,146576816,1726596803,16.8
219,"1085 Bowman Forest Suite 996
North Jeffreychester, IN 88552",31025,Clay,42.42482861,40332500,144535492,1607175647,17.03
220,"Unit 5579 Box 7558
DPO AE 84484",30830,Sand,8.856545351,40079000,122116985,1780674846,16.93
221,"30579 Chelsea Shoal
Mariafort, NJ 99299",30759,Silt,22.9171155,39986700,136530436,1629245694,16.89
222,"06730 William Oval
New Kurtfort, AZ 91268",30688,Loam,31.55659268,39894400,148840561,1614720520,16.85
223,"01981 Payne Forge Apt. 757
Kleinborough, HI 50713",30970,Silt,12.45585506,40261000,144071469,1340964484,17
224,"36435 Gibbs Track Suite 368
Herringborough, TX 61672",30657,Sand,89.50861515,39854100,132163304,1658682045,16.83
225,"1092 Gutierrez Course
New Kellieborough, MA 34542",30715,Silt,85.87785757,39929500,93184638,1178876203,16.86
226,"87739 Leslie Trail Suite 516
Robertsmouth, MO 02968",30589,Sand,73.52396001,39765700,95514864,855279021.4,16.79
227,"7549 Richard Tunnel Suite 706
Caseberg, NC 21159",30791,Silt,96.3570115,40028300,145772874,1827763207,16.9
228,"35662 Phillips Village Suite 740
Lake Jason, UT 52373",31014,Silt,83.27275982,40318200,84235845,1123318853,17.03
229,"713 Martinez Inlet
Skinnerborough, NY 98493",30607,Loam,66.85876817,39789100,92360487,974479954.6,16.8
230,"46724 Hopkins Landing Suite 810
Reneetown, AK 37449",30897,Silt,45.49881677,40166100,136678596,1689163439,16.96
231,"47349 Fitzgerald Forges
North Kimberlyville, NC 53859",30751,Clay,13.44332899,39976300,144249123,971198705,16.88
232,"USS Miller
FPO AA 40365",30593,Loam,35.71651434,39770900,88503350,1043215450,16.8
233,"3086 Martinez Motorway Apt. 109
Munozfort, SD 95906",30892,Clay,12.92055074,40159600,88937926,1130852386,16.96
234,"763 Elaine Station Apt. 329
Alexanderside, NY 23205",30388,Silt,24.57190178,39504400,145023619,1802464880,16.68
235,"6640 Julie Summit
New Colleenbury, NE 91425",31100,Sand,19.16390016,40430000,81870918,1325814488,17.07
