,Area(Sq.Mt.),Soil_type,Distance_from_city,Budget,Passenger_traffic
47,24179.76,Sand,8.39,31433688.44,122628592
48,33771.5,Clay,81.34,43902948.02,157290791
49,25307.78,Sand,31.9,32900113.79,81955794
50,5992.22,Silt,27.95,7789880.316,129836627
51,36715.56,Silt,6.13,47730224.79,149698483
52,26655.38,Silt,17.61,34651990.34,73803794
53,9756.61,Sand,28.54,12683593.31,80290922
54,39291.81,Loam,54.49,51079354.49,135408198
55,60010.19,Sand,14.22,78013243.31,104092448
56,20817.23,Sand,20.09,27062394.24,156173109
57,50616.48,Sand,68.99,65801428.51,107760901
58,57101.75,Sand,14.71,74232279.19,137792020
59,28232.19,Clay,67.64,36701853.42,134429073
60,55402.71,Sand,86.99,72023521.51,82324770
61,50412.66,Clay,11.97,65536454.19,90373568
62,36062.89,Loam,75.76,46881760.04,117536125
63,6938.14,Loam,46.2,9019587.72,137505487
64,19457.74,Clay,34.53,25295057.2,118953359
65,4510.52,Sand,46,5863680.848,78558232
66,12343.17,Silt,94.61,16046123.96,74715711
67,28887.53,Silt,90.12,37553788.71,136677247
68,44990.35,Sand,30.98,58487449.02,124394335
69,43998.94,Clay,97.77,57198617.38,118627512
70,10107.65,Clay,38.07,13139950.3,103765507
71,10292.93,Clay,18.44,13380815.04,133548904
72,51735.87,Loam,63.09,67256634.55,115444143
73,28616.65,Clay,60.01,37201644.4,120101262
74,28301.39,Loam,67.08,36791803.51,96098010
75,60407.37,Silt,59.11,78529576.15,97716023
76,37455.17,Loam,58.11,48691719.93,73551498
77,21620.15,Sand,43.23,28106197.41,133654661
78,5069.76,Silt,49.91,6590682.954,117015113
79,35506.88,Clay,5.41,46158943.63,113235823
80,29286.94,Sand,89.06,38073018.14,84468549
81,30880.15,Loam,76.54,40144198.74,146772379
82,57164.65,Loam,28.85,74314049.82,94513649
83,9822.29,Sand,53.53,12768980.13,137151331
84,23105.05,Clay,98.31,30036566.46,148493156
85,14242,Sand,97.76,18514599.23,96225258
86,10443.42,Silt,6.73,13576440.62,84940972
87,58479.41,Clay,41.4,76023234.35,121302425
88,1968.86,Silt,72.36,2559515.694,86011253
89,11760.05,Sand,10.59,15288065.03,95345772
90,17216.74,Sand,95.25,22381761.6,108667191
91,47958.78,Sand,77.7,62346410.36,127322846
92,58574.66,Clay,96.06,76147053.54,120681709
93,59403.75,Silt,76.75,77224871.62,118723482
94,31151.81,Loam,13.67,40497351.21,98975015
95,8688.53,Clay,82.02,11295089.82,127842148
96,9391.86,Sand,49.03,12209422.98,157931081
97,18371.04,Clay,52.37,23882356.55,76754201
98,6611.65,Loam,25.67,8595144.691,125892473
99,46268.95,Clay,52.16,60149632.95,83507381
100,23331.77,Clay,26.19,30331306.99,128074195
101,31897.31,Loam,36.77,41466500.03,140212716
102,8094.55,Loam,65.51,10522919.53,150611167
103,47675.7,Clay,25.85,61978415.35,90033905
104,5094.29,Silt,60.74,6622572.074,119586198
105,51109.49,Silt,35.39,66442338.13,123158119
106,43234.08,Silt,13.23,56204304.68,140813766
107,21465.06,Clay,65.66,27904571.85,91308385
108,37872.76,Silt,74.86,49234585.4,122430636
109,53983.59,Clay,69.93,70178665.68,107269669
110,38403.8,Clay,24.5,49924942.32,71978249
111,56705.48,Silt,67.42,73717124.8,72710900
112,60176.94,Silt,70.85,78230023.55,93801948
113,26921.95,Clay,54.99,34998530.73,134251896
114,58195,Loam,20.54,75653494.13,95504789
115,19610.84,Silt,24.4,25494093.1,97716960
116,59619.08,Loam,33.46,77504804.67,89166483
117,32817.38,Loam,54.27,42662588.33,140962023
118,23377.63,Sand,72.41,30390914.28,133044226
119,57145.68,Clay,24.53,74289385.53,148920603
120,6379.08,Sand,47.3,8292805.484,101486644
121,39362.42,Sand,41.02,51171140.52,103161065
122,13801.21,Sand,88.11,17941578.09,149363276
123,29085.71,Loam,75.93,37811416.99,128607868
124,40600.5,Clay,78.36,52780650.65,155453380
125,24696.82,Sand,18.65,32105864.25,131032028
126,11834.17,Clay,5.52,15384419.89,119836772
127,35768.33,Clay,69.77,46498826.51,118017610
128,45035.59,Loam,87.74,58546264.1,86443191
129,7541.83,Clay,35.53,9804377.572,72414919
130,17042.22,Silt,61.53,22154879.68,113319754
131,19581.82,Silt,50.17,25456360.91,110072251
132,24965.06,Loam,16.52,32454576.49,141302224
133,20507,Silt,68.65,26659103.55,82524248
134,58575.51,Sand,77.2,76148165.98,141906770
135,31633.11,Loam,45.08,41123046.35,71903455
136,20933.41,Silt,80.37,27213430,139789461
137,36405.92,Sand,73.28,47327694.9,134508897
138,50297.5,Loam,62.85,65386745.94,130146471
139,43546.25,Loam,7.7,56610127.42,137573289
140,45998.53,Silt,80.94,59798087.11,98091724
141,20126.37,Silt,38.7,26164275.05,135111295
142,29642.45,Sand,15.63,38535183.64,107897251
143,43540.39,Sand,62.58,56602509.52,132635854
144,49249.38,Clay,43.19,64024196.57,148103516
145,48615.78,Sand,91.42,63200516.09,132331271
146,48626.98,Silt,8.84,63215077.89,77953079
147,3479.71,Sand,32.3,4523625.996,131066477
148,20460.01,Silt,14.83,26598007.3,114974464
149,15274.71,Clay,59.5,19857127.01,143938810
150,50319.71,Silt,44.47,65415625.98,132328310
151,32007.72,Loam,12.96,41610035.2,78048811
152,2846.55,Clay,13.86,3700510.702,145287128
153,4423.21,Sand,81.57,5750166.988,103570457
154,2092.59,Loam,97.86,2720371.478,124966821
155,11270.13,Clay,57.28,14651171.48,87154318
156,25574.15,Sand,91.81,33246391.69,157266854
157,15806.69,Clay,6.27,20548696.55,106203266
158,26333.48,Clay,85.44,34233528.84,87743825
159,33939.51,Loam,98.22,44121367.74,152130895
160,27188.17,Silt,20.62,35344621.82,117864510
161,32221.81,Clay,80.17,41888354.53,85476667
162,10508.19,Loam,33.72,13660645.18,125360400
163,50356.64,Silt,25.72,65463625.62,144015640
164,51396.48,Silt,55.5,66815428.36,87765811
165,59286.28,Loam,35.53,77072157.8,113076325
166,51499.59,Loam,34.15,66949472.61,116330092
167,57754.25,Loam,11.94,75080529.66,100261099
168,58782.81,Sand,85.13,76417650.82,153296315
169,58959.12,Loam,9.92,76646849.51,142373801
170,54591.17,Silt,58.69,70968524.59,84826567
171,56144.67,Sand,68.7,72988077.09,146518123
172,26821.49,Loam,52.39,34867939.73,107856063
173,3209.89,Loam,65.19,4172857.544,130783462
174,54489.53,Clay,60.48,70836394.37,154083909
175,4069.54,Loam,97.3,5290406.909,102792140
176,2096.54,Silt,19.08,2725501.469,136322790
177,5862.47,Sand,93.49,7621207.105,72105194
178,5559.85,Loam,98.04,7227801.291,90461211
179,51450.74,Sand,78.12,66885958.46,73483818
180,42636.55,Sand,33.97,55427519.43,149416344
181,2793.99,Clay,76.61,3632186.36,153093775
182,20371.05,Silt,90.86,26482359.67,148553969
183,21467.64,Loam,23.47,27907931.79,76921056
184,18154.73,Sand,47.85,23601151.78,119317187
185,25884.84,Clay,59.57,33650287.75,143754079
186,56031.92,Clay,80.2,72841492.73,128302614
187,12082.61,Sand,93.81,15707397.4,126361977
188,27214.59,Clay,53.77,35378961.09,114097939
189,36263.27,Silt,52.93,47142254.24,152284116
190,8045.06,Loam,59.14,10458583.11,79378827
191,13649.2,Sand,27.43,17743954.56,102573640
192,19764.26,Sand,39.22,25693533.8,139976433
193,39361.91,Clay,52.86,51170483.8,85132655
194,48873.6,Loam,21.26,63535679.72,111513529
195,52377.28,Sand,30.1,68090460.27,153045995
196,1993.95,Clay,11.85,2592138.565,76112014
197,39843.89,Silt,54.33,51797051.44,115055075
198,56789.18,Sand,45.73,73825936.44,117932601
199,36068.97,Loam,26.87,46889663.06,139653551
200,54274.01,Silt,17.68,70556206.62,114005026
201,14775.86,Sand,92.14,19208617.57,156249333
202,4221.99,Clay,82.66,5488591.229,141942590
203,36150.7,Loam,87.95,46995912.34,143339396
204,27034.05,Sand,23.71,35144268.57,71876357
205,40139.8,Loam,84.33,52181737.38,89669938
206,19528.42,Silt,84.43,25386949.92,93672808
207,23612.22,Loam,61.07,30695889.95,157056971
208,1390.89,Clay,47.85,1808154.704,143782997
209,45986.08,Silt,17.96,59781903.39,131960033
210,38195.84,Silt,51.33,49654591.31,83209731
211,26110.16,Loam,31.77,33943213.3,156811482
212,30359.28,Silt,82.69,39467066.78,119422190
213,33681.23,Silt,45.85,43785595.4,135634626
214,44406.03,Clay,45.63,57727844.24,89639484
215,55381.38,Clay,63.63,71995794.21,124848648
216,39078.5,Loam,42.88,50802052.35,144646562
217,52725.06,Sand,33.96,68542575.59,137816786
218,37512.95,Clay,30.77,48766839.86,146321763
219,3882.41,Sand,48.96,5047137.949,136201326
220,23637.97,Silt,74.43,30729357.16,150904648
221,17859.17,Silt,34.1,23216923.88,138071669
222,2175.42,Silt,81.2,2828049.583,136840722
223,11963.5,Loam,38.91,15552552.75,113641058
224,39572.92,Loam,22.68,51444795.07,140566275
225,52877.53,Sand,6.13,68740782.95,99904763
226,51872.43,Sand,19.61,67434153.25,72481273
227,34045.96,Sand,97.51,44259747.83,154895187
228,42817.66,Sand,69.21,55662960.37,95196513
229,55762.61,Silt,35.05,72491393.13,82583047
230,34501.62,Clay,70.68,44852106.69,143149444
231,14137.57,Sand,91.78,18378844.58,82304975
232,49312.88,Silt,76.18,64106750.17,88408089
233,58078.11,Silt,54.92,75501544.96,95834948
234,53828.33,Sand,30.01,69976828.11,152751261
235,50893.09,Sand,70.57,66161011.93,112357160
236,36114.73,Clay,23.08,46949150.34,138691296
237,19175.82,Silt,25.11,24928560.06,147797586
238,18346.9,Loam,44,23850963.81,87293615
239,20153.05,Silt,41.08,26198960.7,113641129
240,35546.72,Sand,21.97,46210742.02,152466533
241,53176.12,Sand,43.18,69128956.67,147700638
242,47115.13,Clay,84.92,61249667.02,90282929
243,33543.07,Silt,71.23,43605985.12,98164437
244,2782.73,Loam,20.68,3617542.812,114384405
245,32329.89,Sand,24.43,42028863.03,152270468
246,37236.16,Loam,90.74,48407008.98,111273902
247,19928.61,Loam,42.5,25907189.24,110676179
248,1545.34,Sand,29.09,2008941.696,97989333
249,43948.88,Silt,23.04,57133547.62,129149340
250,14303.31,Clay,46.92,18594298.02,78361858
251,9953.76,Silt,46.96,12939886.59,112021732
252,11522.22,Loam,66.78,14978884.93,91581358
253,6193.02,Silt,9.6,8050924.131,106645597
254,14532.3,Silt,94.1,18891983.52,128117923
255,51214.13,Sand,29.78,66578370.55,135416456
256,10864.97,Sand,85.52,14124457.54,135717224
257,11718.54,Silt,92.5,15234104.61,133105872
258,49372.78,Loam,73.3,64184619.76,120454539
259,1774.09,Loam,84.78,2306319.723,107570322
260,24580.72,Loam,63.56,31954931.38,99127026
261,28400.47,Loam,26.87,36920604.72,127399750
262,24217.13,Loam,80.46,31482263.31,105556910
263,30381.71,Silt,54.48,39496221.81,81446676
264,5805.22,Loam,19.82,7546782.173,129691159
265,11058.59,Sand,67.26,14376168.53,115653284
266,4204.71,Sand,51.7,5466124.196,125176270
267,16621.52,Sand,5.87,21607972.98,93481705
268,21312.1,Loam,50.71,27705723.93,118744194
269,59450.01,Sand,65.58,77285012.38,139843192
270,41218.96,Silt,40.74,53584644.75,76156397
271,13387.94,Clay,91.31,17404322.8,86899850
272,49364.56,Sand,88.81,64173927.08,117794030
273,53516.82,Clay,13.5,69571864.4,73399476
274,56692.75,Loam,63.73,73700572.46,95773351
275,30839.43,Silt,32.18,40091253.03,126154380
276,41079.63,Clay,93.67,53403513.82,110593179
277,30000.23,Clay,71.4,39000293.66,77617973
278,18184.95,Silt,82.26,23640430.46,75238071
279,2301.81,Loam,34.59,2992353.861,136367815
280,41393.15,Loam,90.41,53811093.11,94438210
281,33498.65,Sand,22.18,43548243.86,92120403
282,37544.82,Loam,59.97,48808272.5,87068846
283,33232.73,Loam,20.14,43202551.91,153301090
284,11302.3,Clay,32.71,14692984.55,152134989
285,29361.95,Clay,59.26,38170539.35,123079547
286,41071.93,Sand,31.07,53393510.57,115745584
287,43655.96,Loam,58.61,56752747.84,100301259
288,7600.5,Silt,81.15,9880646.985,88561057
289,19386.58,Sand,5.72,25202555.06,129005484
290,52709.63,Loam,94.39,68522521.02,127619525
291,50390.28,Clay,49.05,65507360.24,76929654
292,13842.74,Sand,21.82,17995556.98,101800030
293,37150.92,Loam,67.06,48296199.82,76434128
294,22517.11,Loam,97.42,29272237.45,90844829
295,60331.25,Loam,41.26,78430625.26,140756323
296,42567.97,Clay,67.93,55338359.57,74646774
297,48446.42,Clay,31.51,62980339.76,80038476
298,10492.65,Sand,41.41,13640445.99,78307773
299,51698.86,Silt,57.27,67208523.79,94638248
300,40952.7,Clay,73.16,53238508.23,130046450
301,7264.45,Clay,65.4,9443787.433,140401308
302,16934.92,Sand,45.3,22015397.86,85228934
303,57749.78,Silt,24.58,75074720.3,124165147
304,16074.84,Clay,63.63,20897297.67,137143567
305,33940.42,Loam,85.6,44122541.84,122142351
306,5658.42,Clay,63.7,7355948.901,158160219
307,6866.82,Clay,33.06,8926870.347,91181462
308,42067.02,Sand,71.46,54687121.91,88356540
309,26120.43,Clay,10.66,33956555.39,73915788
310,18993.39,Silt,51.9,24691404.72,94288767
311,6139.35,Loam,81.95,7981158.414,158023471
312,13554.38,Clay,92.72,17620687.52,147345067
313,19866.97,Silt,10.64,25827063.34,152489214
314,20921.06,Sand,84.04,27197381.1,130115567
315,43618.28,Sand,91.93,56703767.56,127608810
316,23908.46,Sand,43.28,31080999.96,134304072
317,4417.09,Silt,66.29,5742217.424,103369289
318,15045.16,Sand,27.88,19558702.6,88629180
319,44451.54,Silt,88.66,57787004.7,137752192
320,36523.31,Silt,78.38,47480309.4,78379786
321,53436.49,Silt,5.23,69467435.23,111251981
322,53212.37,Clay,36,69176074.76,97648738
323,3111.3,Sand,43.28,4044692.513,100444404
324,12935.67,Sand,93.43,16816375.39,142641934
325,35721.36,Silt,75.05,46437768.97,147020680
326,26875.63,Silt,20.28,34938314.08,103944427
327,31628.09,Loam,65.97,41116516.3,108965961
328,23760.79,Loam,77.46,30889023.14,131203846
329,58472.56,Loam,82.84,76014329.3,108006266
330,48041.49,Silt,31.22,62453934.3,91673077
331,34147.28,Loam,12.93,44391461.1,102817857
332,47371.9,Clay,34.52,61583464.61,79895560
333,37581.69,Silt,48.64,48856197.48,73344866
334,29465.08,Loam,90.2,38304610.18,137581945
335,26489.57,Clay,42.93,34436446.93,120230894
336,51614.66,Sand,62.64,67099062.59,104336855
337,55182.09,Sand,19.93,71736721.79,84231834
338,33465.23,Loam,8.59,43504802.2,144765056
339,51923.56,Loam,11.52,67500621.62,87094886
340,32579.53,Loam,36.35,42353392,135038715
341,42591.16,Clay,96.22,55368512.9,126301382
342,10100.7,Loam,72.88,13130906.27,72836375
343,12300.2,Sand,73.64,15990259.96,120655602
344,20013.92,Clay,93.61,26018098.77,79544011
345,26958.5,Sand,39.06,35046051.58,82380841
346,5158.94,Clay,24.06,6706621.057,78288556
347,57807.39,Loam,94.19,75149612.92,75307235
348,60157.21,Loam,66.15,78204374.48,78318750
349,36753.55,Sand,15.23,47779620.61,104813198
350,42790.38,Silt,21.84,55627498.16,107546692
351,48324.33,Sand,25.43,62821632.87,133708591
352,38410.36,Sand,62.31,49933472.91,87785630
353,30102.03,Silt,76.22,39132637.56,150308548
354,23245.04,Clay,96.1,30218556.51,134664290
355,11367.41,Sand,49.82,14777632.03,131325292
356,7779.78,Silt,31.26,10113708.32,143574268
357,9777.16,Silt,11.39,12710313.33,87351685
358,1026.92,Sand,66.92,1334998.004,143493039
359,60304.01,Silt,36.88,78395207.09,84926268
360,13498.87,Silt,29.4,17548532.93,112765237
361,20166.31,Sand,49,26216203.99,153225332
362,46755.63,Silt,55.02,60782316.11,82796443
363,57494.47,Loam,32.31,74742810.64,95979433
364,45166.36,Sand,39.24,58716266.57,142751677
365,45980.1,Sand,98.88,59774125,140236332
366,53416.55,Loam,50.28,69441519.6,94685614
367,12804.05,Sand,8.34,16645264.85,117670441
368,9331.3,Sand,14.39,12130683.75,101802720
369,32743.22,Silt,73.5,42566181.5,130836441
370,5811.8,Clay,24.5,7555337.833,102311977
371,2262.19,Sand,84.12,2940849.473,102087115
372,20014.68,Sand,15.85,26019087.95,131575382
373,34689.3,Clay,27.4,45096093.41,155768341
374,36859.27,Silt,29.16,47917048.65,84578763
375,42650.02,Sand,81.52,55445022.34,138590961
376,40314.7,Sand,54.21,52409104.17,137164358
377,22570.57,Sand,35.58,29341739.65,106863024
378,32678.88,Sand,18.34,42482539.52,126520243
379,6604.36,Clay,14.62,8585666.836,156500248
380,8203.5,Silt,20.78,10664555.17,143275678
381,19038.46,Clay,67.87,24749997.68,71926071
382,57872.98,Sand,73.53,75234873.02,136682464
383,21981.09,Silt,42.8,28575413.26,96923915
384,29914.77,Loam,16.44,38889202.09,128315283
385,1284.29,Clay,76.14,1669572.563,89038638
386,37152.9,Loam,29.35,48298772.98,105328143
387,24814.74,Clay,23.46,32259164.17,125409999
388,58218.28,Loam,54.66,75683762.71,153903181
389,44123.25,Loam,63.16,57360221.4,83451047
390,24845.56,Sand,55.89,32299223.21,102357279
391,46261.01,Loam,29.1,60139313.28,119365476
392,21506.48,Sand,44.81,27958429.96,75587103
393,38810.42,Silt,33.95,50453540.6,122260582
394,2687.68,Sand,73.66,3493985.432,73964680
395,26327.41,Sand,91.15,34225630.61,119824517
396,11265.41,Silt,61.01,14645033.63,133636404
397,48315.18,Silt,59.12,62809738.43,138321586
398,7640.15,Silt,79.54,9932195.451,125237302
399,43337.8,Sand,8.28,56339144.77,86891338
400,16225.79,Sand,23.82,21093530.2,148381556
401,21132.08,Sand,57.31,27471700.29,99253249
402,3162.14,Sand,54.34,4110780.726,136156938
403,44231.01,Silt,66.37,57500315.06,122361464
404,52232.48,Clay,35.15,67902224.79,152381405
405,7038.81,Loam,55.28,9150457.928,86498446
406,46643.51,Loam,70.63,60636563.26,146455320
407,4989.5,Loam,85.39,6486354.488,147751482
408,1191.39,Sand,32.28,1548808.104,100752658
409,59958.21,Clay,7.67,77945677.35,120605815
410,35882.59,Clay,90.95,46647366.68,113119051
411,13115.94,Silt,87.79,17050720.01,96753725
412,33232.01,Clay,79.22,43201619.23,154720992
413,56968.15,Sand,84.49,74058597.83,143790690
414,46277.11,Sand,47.75,60160244.69,128568409
415,54705.19,Loam,17.51,71116749.68,139619707
416,56754.87,Clay,61.04,73781327.78,122230072
417,51185.54,Clay,44.17,66541207.04,104770069
418,41800.03,Loam,35.92,54340037.07,108809180
419,50413.54,Sand,86.95,65537602.74,127764024
420,50088.81,Loam,6.79,65115454.18,155476454
421,46543.59,Clay,76.97,60506669.51,149439698
422,29756.26,Clay,65.56,38683141.65,132949028
423,50578.71,Sand,28.79,65752326.96,84045615
424,24910.88,Silt,34.73,32384143.11,138432464
425,26036.17,Clay,69.19,33847019.5,140382102
426,32290.46,Loam,8.3,41977597.86,135987118
427,17243.4,Sand,49.83,22416417.38,136050916
428,3193.5,Loam,88.03,4151547.34,152961245
429,58266.8,Silt,86.28,75746836.93,138450589
430,32445.57,Silt,13.86,42179241.76,98214267
431,55131.06,Sand,74.41,71670377.4,97996256
432,52663.77,Loam,96.27,68462902.77,156135668
433,2328.62,Loam,48.21,3027200.674,77580901
434,4169.13,Sand,45.41,5419874.027,122953153
435,28255.25,Sand,13.65,36731825.4,93919331
436,20642.5,Clay,78.06,26835249.55,132201692
437,40098.53,Clay,35.97,52128090.62,93171881
438,3517.91,Silt,15.76,4573285.896,149332782
439,5750.18,Loam,48.04,7475240.153,88076430
440,25927.37,Sand,98.73,33705580.45,117438314
441,56547.52,Clay,97.45,73511773.8,143685432
442,39548.18,Sand,9.39,51412628.01,141928922
443,16456.08,Sand,46.58,21392904.76,136761273
444,8444.53,Clay,89.16,10977888.83,77208601
445,45513.68,Sand,43.09,59167789.32,103068543
446,7718.54,Sand,68.03,10034095.68,147358155
447,39313.31,Silt,42.3,51107305.96,118775928
448,54634.4,Loam,99.86,71024721.39,109384387
449,30581.6,Silt,50.39,39756080.17,97048200
450,3679.85,Silt,16.67,4783800.803,121644494
451,18526.2,Clay,81.17,24084053.79,143568415
452,5860.95,Sand,26.82,7619236.223,128154541
453,16669.31,Sand,80.33,21670098.9,134892537
454,13304.64,Loam,65.73,17296028.21,86073038
455,39704.02,Sand,89.77,51615230.41,107407669
456,57924.86,Loam,23.47,75302323,108414298
457,59105.91,Clay,32.79,76837686.19,123067217
458,57692.29,Sand,95.54,74999983.46,139798632
459,4058.68,Silt,91.24,5276280.994,73520859
460,8812.5,Clay,28.68,11456251.07,137513653
461,35627.12,Silt,11.71,46315255.72,153747903
462,1033.12,Loam,49.43,1343053.176,149509685
463,28164.32,Sand,30.65,36613619.27,105692421
464,5937.68,Sand,65.72,7718978.652,94582655
465,18923.07,Sand,9.47,24599990.98,114825361
466,46956.85,Sand,70.24,61043899.2,110939548
467,10376.33,Sand,75.92,13489226.67,74931507
468,46488.03,Clay,12.4,60434436.64,89542410
469,1432.19,Clay,41.17,1861843.481,73481091
470,30395.27,Clay,22.13,39513856.16,155703788
471,44857.14,Clay,88.21,58314277.36,115315957
472,43165.74,Clay,16.29,56115462.59,75334278
473,20701.15,Loam,12.11,26911501.01,80971339
474,58621.69,Sand,46.68,76208194.75,98094303
475,56974.74,Loam,87.81,74067155.81,71848273
476,27901.18,Silt,78.9,36271537.76,87948136
477,26251.51,Silt,81.91,34126959.25,142168196
478,36081.77,Sand,23.29,46906296.79,100522436
479,22704.41,Clay,53.34,29515731.57,144214656
480,42682.24,Silt,35.04,55486911.72,154299955
481,39343.87,Clay,99.17,51147031.65,139591744
482,50082.07,Silt,31.12,65106685.78,102352771
483,3086.92,Clay,28.76,4012997.37,84897859
484,1791.73,Sand,80.2,2329250.765,141627330
485,14424.04,Clay,87.09,18751255.66,96333134
486,30827.24,Sand,28.56,40075408.87,136347042
487,10313.54,Sand,19.21,13407597.59,115472353
488,10893.89,Silt,32.11,14162056.93,83738449
489,38056.02,Loam,48.93,49472820.84,144661149
490,47406.01,Silt,75.58,61627810.18,94895009
491,59790.8,Silt,50.63,77728044.26,137932272
492,26200.88,Silt,64.83,34061145.34,121337016
493,49929.53,Clay,18.44,64908387.86,113758745
494,33339.73,Silt,61.92,43341646.68,151522426
495,51992.75,Sand,5.24,67590579.75,94269599
496,14707.36,Loam,50.88,19119568.72,81197151
497,1771.55,Sand,86.59,2303010.754,129525645
498,56805.33,Sand,40.52,73846929.65,131929875
499,51991.85,Sand,15.45,67589399.08,86730581
500,30317.65,Clay,91.48,39412947.53,145404856
501,19525.65,Clay,25.96,25383343.83,146861615
502,12183.49,Clay,59.72,15838541.13,139117777
503,22515.08,Loam,57.57,29269597.7,84685574
504,14921.65,Loam,27.52,19398139.54,127799246
505,5361.04,Sand,62.66,6969354.094,77159126
506,53372.48,Silt,96.69,69384218.62,91348980
507,58308.89,Sand,53.06,75801554.43,98337845
508,13193.7,Clay,10.07,17151806.93,114712779
509,13033.01,Clay,79.65,16942912.28,151226195
510,57800.45,Clay,28.99,75140583.06,139114312
511,28636.69,Loam,55.49,37227697.07,73677822
512,52944.32,Loam,38.26,68827619.04,83030853
513,40945.53,Sand,65.32,53229183.52,127974923
514,45386.49,Silt,39.85,59002435.46,145003075
515,50693.48,Sand,52.95,65901528.38,135076404
516,33890.95,Sand,81.86,44058229.81,158164391
517,24947.13,Loam,41.54,32431269.11,135814743
518,16164.84,Loam,31.26,21014285.93,113847914
519,29856.42,Loam,66.44,38813346.25,96769769
520,13747.32,Loam,91.76,17871516.63,147594876
521,28804.87,Silt,83.02,37446328.63,153948258
522,16035.64,Silt,58.77,20846331.7,107876552
523,41916.55,Loam,25.46,54491510.55,77108298
524,20457.29,Sand,55.61,26594482.69,146029590
525,50160.64,Silt,60.63,65208826.52,101777701
526,42823.77,Clay,29.55,55670901.18,108418274
527,47396.91,Sand,80.96,61615987.94,99257165
528,50844.35,Loam,67.43,66097650.77,155527188
529,37006.86,Loam,49.17,48108911.87,87906554
530,43577.19,Sand,54.2,56650345.54,143044552
531,56038.3,Loam,90.18,72849789,135395587
532,2336.22,Clay,53.96,3037092.109,111218385
533,54846.71,Silt,12.03,71300728.24,140129021
534,57838.06,Silt,20.88,75189477.3,138787240
535,28567.89,Loam,15.57,37138253.77,78045391
536,1390.51,Loam,19.16,1807664.236,150505361
537,14468.18,Silt,54.86,18808634.04,145316582
538,43875.15,Silt,27.48,57037691.96,89916764
539,54883.92,Loam,83.41,71349091.95,112997759
540,39164.62,Loam,32.12,50914000.23,122308760
541,14238.78,Sand,98.45,18510411.27,139367102
542,46901.25,Sand,50.02,60971629.93,134051578
543,35136.34,Silt,88.23,45677247.23,76694862
544,32860.43,Silt,69.09,42718564.13,132180715
545,48144.54,Sand,24.95,62587904.22,81336119
546,34527.69,Loam,37.79,44885997.69,106206308
547,11747.24,Silt,31.03,15271412.49,77574996
548,51844.67,Silt,72.94,67398065.19,92233064
549,3992.74,Silt,13.46,5190556.399,135241648
550,21943.05,Silt,81.73,28525965.23,126082420
551,20608.78,Sand,95.95,26791420.12,72902076
552,6449.31,Silt,67.95,8384105.487,83288402
553,16494.13,Sand,11.71,21442371.31,135487099
554,40589.29,Silt,55.02,52766076.58,108405508
555,7703.07,Silt,62.93,10013992.37,92837192
556,37049.7,Sand,97.76,48164606.59,83254208
557,60300.8,Silt,57.69,78391040.83,92012736
